weather_id,airport_id,observation_ts,report_type,temperature_c,wind_speed_kt,visibility_m,precipitation_mm,altimeter_hpa
WX-00000084,AP-0002,2026-07-24T02:27:59,ROUTINE,29.0,10.7,9582.0,0.0,1018.8
WX-00000085,AP-0002,2026-07-24T03:27:59,ROUTINE,27.3,12.6,9858.0,0.0,1020.6
WX-00000086,AP-0002,2026-07-24T04:27:59,SPECIAL,27.0,8.2,9385.0,0.0,1023.8
WX-00000087,AP-0002,2026-07-24T05:27:59,ROUTINE,31.1,18.4,10000.0,0.0,1006.1
WX-00000088,AP-0002,2026-07-24T06:27:59,ROUTINE,26.9,21.0,9615.0,0.6,1016.7
WX-00000089,AP-0002,2026-07-24T07:27:59,ROUTINE,27.6,17.1,,0.0,1023.2
WX-00000090,AP-0002,2026-07-24T08:27:59,ROUTINE,26.7,5.5,9680.0,0.0,1007.3
WX-00000091,AP-0002,2026-07-24T09:27:59,ROUTINE,28.3,15.4,1535.0,0.0,1001.3
WX-00000092,AP-0002,2026-07-24T10:27:59,ROUTINE,29.6,1.0,9407.0,0.0,1012.4
WX-00000093,AP-0002,2026-07-24T11:27:59,ROUTINE,32.7,13.0,9837.0,0.0,1020.1
WX-00000094,AP-0002,2026-07-24T12:27:59,SPECIAL,29.0,10.4,9819.0,0.0,1005.8
WX-00000095,AP-0002,2026-07-24T13:27:59,ROUTINE,26.9,10.2,9343.0,0.0,1012.3
WX-00000096,AP-0002,2026-07-24T14:27:59,ROUTINE,25.9,14.6,10000.0,0.0,1013.0
WX-00000097,AP-0003,2026-07-22T15:27:59,ROUTINE,22.4,4.6,513.0,0.0,1013.6
WX-00000098,AP-0003,2026-07-22T16:27:59,ROUTINE,24.3,2.3,9373.0,0.0,1016.1
WX-00000099,AP-0003,2026-07-22T17:27:59,ROUTINE,26.0,3.0,10000.0,0.0,1014.4
WX-00000100,AP-0003,2026-07-22T18:27:59,ROUTINE,28.2,18.7,10000.0,0.0,1025.9
WX-00000101,AP-0003,2026-07-22T19:27:59,ROUTINE,26.6,2.6,10000.0,0.0,1015.5
WX-00000102,AP-0003,2026-07-22T20:27:59,ROUTINE,23.4,15.7,329.0,0.0,1027.1
WX-00000103,AP-0003,2026-07-22T21:27:59,SPECIAL,27.4,11.7,10000.0,0.0,1016.9
WX-00000104,AP-0003,2026-07-22T22:27:59,ROUTINE,27.7,10.3,9900.0,0.0,1021.1
WX-00000105,AP-0003,2026-07-22T23:27:59,ROUTINE,24.6,13.9,10000.0,0.1,1014.1
WX-00000106,AP-0003,2026-07-23T00:27:59,ROUTINE,22.8,7.4,9449.0,0.0,1014.2
WX-00000107,AP-0003,2026-07-23T01:27:59,ROUTINE,29.1,9.5,8000.0,1.2,1019.1
WX-00000108,AP-0003,2026-07-23T02:27:59,ROUTINE,25.9,4.0,9206.0,6.3,1010.8
WX-00000109,AP-0003,2026-07-23T03:27:59,ROUTINE,27.4,3.9,9557.0,0.0,1012.8
WX-00000110,AP-0003,2026-07-23T04:27:59,ROUTINE,29.0,11.1,9707.0,0.0,1021.9
WX-00000111,AP-0003,2026-07-23T05:27:59,ROUTINE,26.7,35.4,9789.0,0.0,1012.1
WX-00000112,AP-0003,2026-07-23T06:27:59,ROUTINE,27.2,2.2,2739.0,0.0,1015.1
WX-00000113,AP-0003,2026-07-23T07:27:59,ROUTINE,27.2,6.6,93.0,0.0,1005.1
WX-00000114,AP-0003,2026-07-23T08:27:59,ROUTINE,28.3,3.1,10000.0,0.0,1008.4
WX-00000115,AP-0003,2026-07-23T09:27:59,ROUTINE,28.0,13.1,10000.0,0.0,1016.6
WX-00000116,AP-0003,2026-07-23T10:27:59,ROUTINE,23.2,8.8,10000.0,0.0,1011.9
WX-00000117,AP-0003,2026-07-23T11:27:59,ROUTINE,26.2,9.8,9689.0,0.0,1019.4
WX-00000118,AP-0003,2026-07-23T12:27:59,SPECIAL,28.8,5.5,9520.0,0.1,1012.1
WX-00000119,AP-0003,2026-07-23T13:27:59,ROUTINE,25.7,11.7,9174.0,0.0,1014.4
WX-00000120,AP-0003,2026-07-23T14:27:59,ROUTINE,24.6,4.9,9919.0,0.0,1014.9
WX-00000121,AP-0003,2026-07-23T15:27:59,SPECIAL,28.1,18.2,10000.0,0.0,1013.1
WX-00000122,AP-0003,2026-07-23T16:27:59,ROUTINE,27.4,17.5,9736.0,0.0,994.0
WX-00000123,AP-0003,2026-07-23T17:27:59,ROUTINE,25.8,7.8,9621.0,0.0,1020.8
WX-00000124,AP-0003,2026-07-23T18:27:59,ROUTINE,27.9,3.2,9495.0,0.0,1010.1
WX-00000125,AP-0003,2026-07-23T19:27:59,ROUTINE,27.0,23.8,9753.0,0.0,1013.9
WX-00000126,AP-0003,2026-07-23T20:27:59,ROUTINE,28.0,7.1,9732.0,0.0,
WX-00000127,AP-0003,2026-07-23T21:27:59,ROUTINE,25.6,3.0,10000.0,0.0,1017.4
WX-00000128,AP-0003,2026-07-23T22:27:59,ROUTINE,24.1,9.7,65.0,0.0,1020.2
WX-00000129,AP-0003,2026-07-23T23:27:59,ROUTINE,31.3,15.5,10000.0,0.0,1020.9
WX-00000130,AP-0003,2026-07-24T00:27:59,ROUTINE,30.4,5.8,9922.0,2.2,1006.3
WX-00000131,AP-0003,2026-07-24T01:27:59,ROUTINE,23.9,4.4,10000.0,0.0,1009.2
WX-00000132,AP-0003,2026-07-24T02:27:59,ROUTINE,24.9,14.4,9763.0,0.0,1012.0
WX-00000133,AP-0003,2026-07-24T03:27:59,ROUTINE,26.2,26.1,10000.0,0.0,1010.7
WX-00000134,AP-0003,2026-07-24T04:27:59,SPECIAL,25.7,14.0,8000.0,0.0,1007.8
WX-00000135,AP-0003,2026-07-24T05:27:59,ROUTINE,23.2,2.0,9555.0,0.0,1000.6
WX-00000136,AP-0003,2026-07-24T06:27:59,ROUTINE,27.7,16.0,10000.0,0.0,1010.3
WX-00000137,AP-0003,2026-07-24T07:27:59,SPECIAL,27.8,14.0,9739.0,0.0,1007.4
WX-00000138,AP-0003,2026-07-24T08:27:59,ROUTINE,31.0,7.1,9341.0,0.0,1012.3
WX-00000139,AP-0003,2026-07-24T09:27:59,ROUTINE,27.7,1.5,9233.0,0.0,1013.6
WX-00000140,AP-0003,2026-07-24T10:27:59,SPECIAL,30.9,15.9,9908.0,0.0,1021.0
WX-00000141,AP-0003,2026-07-24T11:27:59,SPECIAL,25.5,18.8,9872.0,0.0,1013.9
WX-00000142,AP-0003,2026-07-24T12:27:59,ROUTINE,29.5,12.5,9572.0,1.6,1011.0
WX-00000143,AP-0003,2026-07-24T13:27:59,ROUTINE,27.0,5.8,10000.0,0.0,1011.1
WX-00000144,AP-0003,2026-07-24T14:27:59,ROUTINE,24.4,8.2,9469.0,0.0,1002.6
WX-00000145,AP-0004,2026-07-22T15:27:59,SPECIAL,25.3,9.4,9897.0,0.0,1017.3
WX-00000146,AP-0004,2026-07-22T16:27:59,ROUTINE,25.8,11.1,9273.0,0.0,1005.8
WX-00000147,AP-0004,2026-07-22T17:27:59,ROUTINE,25.3,6.5,9545.0,0.0,1013.9
WX-00000148,AP-0004,2026-07-22T18:27:59,ROUTINE,24.7,5.5,10000.0,0.0,999.1
WX-00000149,AP-0004,2026-07-22T19:27:59,ROUTINE,25.9,4.6,10000.0,0.0,1013.6
WX-00000150,AP-0004,2026-07-22T20:27:59,ROUTINE,23.9,2.8,9686.0,0.0,1022.4
WX-00000151,AP-0004,2026-07-22T21:27:59,ROUTINE,25.3,21.2,1085.0,0.0,994.4
WX-00000152,AP-0004,2026-07-22T22:27:59,ROUTINE,26.6,17.4,9968.0,0.0,1007.8
WX-00000153,AP-0004,2026-07-22T23:27:59,ROUTINE,26.4,4.7,10000.0,0.0,1017.9
WX-00000154,AP-0004,2026-07-23T00:27:59,ROUTINE,25.5,8.0,9435.0,0.0,1021.1
WX-00000155,AP-0004,2026-07-23T01:27:59,SPECIAL,25.5,14.5,10000.0,5.1,1015.7
WX-00000156,AP-0004,2026-07-23T02:27:59,ROUTINE,26.9,39.0,9510.0,0.0,1022.2
WX-00000157,AP-0004,2026-07-23T03:27:59,ROUTINE,27.0,16.4,9771.0,1.8,1011.2
WX-00000158,AP-0004,2026-07-23T04:27:59,ROUTINE,26.3,2.9,10000.0,0.0,1019.2
WX-00000159,AP-0004,2026-07-23T05:27:59,ROUTINE,29.3,9.0,9949.0,0.0,1003.0
WX-00000160,AP-0004,2026-07-23T06:27:59,ROUTINE,28.2,12.1,10000.0,0.0,1010.4
WX-00000161,AP-0004,2026-07-23T07:27:59,ROUTINE,27.1,5.2,9131.0,0.0,1021.2
WX-00000162,AP-0004,2026-07-23T08:27:59,ROUTINE,26.5,2.2,2364.0,0.0,1011.6
WX-00000163,AP-0004,2026-07-23T09:27:59,ROUTINE,26.8,13.2,5800.0,0.0,1000.2
WX-00000164,AP-0004,2026-07-23T10:27:59,ROUTINE,22.2,5.5,9532.0,0.0,1015.8
WX-00000165,AP-0004,2026-07-23T11:27:59,ROUTINE,27.2,15.1,9778.0,4.0,1009.6
WX-00000166,AP-0004,2026-07-23T12:27:59,ROUTINE,28.6,1.6,3418.0,0.0,1014.3
WX-00000167,AP-0004,2026-07-23T13:27:59,ROUTINE,23.7,14.5,9637.0,3.1,1000.7
WX-00000168,AP-0004,2026-07-23T14:27:59,ROUTINE,29.6,9.1,8898.0,0.0,1011.2
WX-00000169,AP-0004,2026-07-23T15:27:59,SPECIAL,26.0,23.8,9814.0,0.0,996.3
WX-00000170,AP-0004,2026-07-23T16:27:59,ROUTINE,25.6,10.5,3737.0,0.0,1013.7
WX-00000171,AP-0004,2026-07-23T17:27:59,ROUTINE,23.4,3.8,284.0,0.0,1015.7
WX-00000172,AP-0004,2026-07-23T18:27:59,ROUTINE,24.5,17.5,9273.0,0.0,1009.6
WX-00000173,AP-0004,2026-07-23T19:27:59,ROUTINE,25.7,8.7,10000.0,0.1,1022.1
WX-00000174,AP-0004,2026-07-23T20:27:59,ROUTINE,25.7,4.8,9832.0,0.0,1014.1
WX-00000175,AP-0004,2026-07-23T21:27:59,ROUTINE,30.9,12.2,9031.0,0.0,1011.3
WX-00000176,AP-0004,2026-07-23T22:27:59,ROUTINE,26.9,7.8,9456.0,0.0,1016.4
WX-00000177,AP-0004,2026-07-23T23:27:59,ROUTINE,27.6,15.1,9784.0,0.0,1008.2
WX-00000178,AP-0004,2026-07-24T00:27:59,ROUTINE,24.9,1.8,10000.0,0.0,1011.5
WX-00000179,AP-0004,2026-07-24T01:27:59,ROUTINE,25.0,6.3,9702.0,0.0,1008.7
WX-00000180,AP-0004,2026-07-24T02:27:59,ROUTINE,23.7,17.9,9975.0,0.0,1007.0
WX-00000181,AP-0004,2026-07-24T03:27:59,ROUTINE,26.7,11.6,9956.0,0.0,1018.9
WX-00000182,AP-0004,2026-07-24T04:27:59,SPECIAL,26.2,7.0,10000.0,0.0,1020.5
WX-00000183,AP-0004,2026-07-24T05:27:59,ROUTINE,23.2,7.9,9602.0,0.0,1009.8
WX-00000184,AP-0004,2026-07-24T06:27:59,ROUTINE,27.8,,9851.0,0.0,1004.4
WX-00000185,AP-0004,2026-07-24T07:27:59,ROUTINE,28.7,2.3,9836.0,0.0,1009.9
WX-00000186,AP-0004,2026-07-24T08:27:59,ROUTINE,24.2,7.0,9871.0,0.0,1007.8
WX-00000187,AP-0004,2026-07-24T09:27:59,ROUTINE,29.0,4.2,9814.0,0.0,1023.6
WX-00000188,AP-0004,2026-07-24T10:27:59,ROUTINE,27.3,2.6,10000.0,0.0,1018.3
WX-00000189,AP-0004,2026-07-24T11:27:59,ROUTINE,23.9,7.1,9261.0,0.0,1021.2
WX-00000190,AP-0004,2026-07-24T12:27:59,ROUTINE,25.4,4.8,10000.0,0.1,1016.0
WX-00000191,AP-0004,2026-07-24T13:27:59,ROUTINE,25.7,11.2,9803.0,0.0,1010.5
WX-00000192,AP-0004,2026-07-24T14:27:59,SPECIAL,24.2,19.5,3541.0,0.0,1010.1
WX-00000193,AP-0005,2026-07-22T15:27:59,ROUTINE,28.9,2.7,9811.0,0.0,1008.5
WX-00000194,AP-0005,2026-07-22T16:27:59,ROUTINE,24.8,3.5,10000.0,0.0,1016.8
WX-00000195,AP-0005,2026-07-22T17:27:59,ROUTINE,26.1,7.9,9481.0,0.0,1003.3
WX-00000196,AP-0005,2026-07-22T18:27:59,ROUTINE,25.9,4.3,9478.0,0.0,1016.8
WX-00000197,AP-0005,2026-07-22T19:27:59,ROUTINE,29.1,1.5,9319.0,0.0,1000.9
WX-00000198,AP-0005,2026-07-22T20:27:59,ROUTINE,26.5,4.1,420.0,0.0,1015.1
WX-00000199,AP-0005,2026-07-22T21:27:59,ROUTINE,26.8,18.5,9760.0,0.0,1005.7
WX-00000200,AP-0005,2026-07-22T22:27:59,ROUTINE,28.9,12.2,9676.0,0.0,1018.2
WX-00000201,AP-0005,2026-07-22T23:27:59,ROUTINE,28.4,12.1,10000.0,0.0,1000.9
WX-00000202,AP-0005,2026-07-23T00:27:59,ROUTINE,26.0,7.1,9556.0,0.7,1012.4
WX-00000203,AP-0005,2026-07-23T01:27:59,SPECIAL,23.2,2.8,10000.0,3.6,1014.7
WX-00000204,AP-0005,2026-07-23T02:27:59,ROUTINE,26.9,7.8,10000.0,0.0,
WX-00000205,AP-0005,2026-07-23T03:27:59,ROUTINE,25.3,23.4,2685.0,0.0,1009.0
WX-00000206,AP-0005,2026-07-23T04:27:59,ROUTINE,24.7,15.9,9837.0,0.0,1011.5
WX-00000207,AP-0005,2026-07-23T05:27:59,SPECIAL,25.2,11.5,10000.0,0.0,995.7
WX-00000208,AP-0005,2026-07-23T06:27:59,ROUTINE,30.2,,9673.0,0.0,1012.6
WX-00000209,AP-0005,2026-07-23T07:27:59,ROUTINE,27.9,2.7,9895.0,0.0,994.1
WX-00000210,AP-0005,2026-07-23T08:27:59,ROUTINE,28.7,5.0,8789.0,0.0,1004.9
WX-00000211,AP-0005,2026-07-23T09:27:59,ROUTINE,29.3,13.4,9490.0,0.0,1019.5
WX-00000212,AP-0005,2026-07-23T10:27:59,ROUTINE,28.9,3.7,9816.0,0.0,1017.0
WX-00000213,AP-0005,2026-07-23T11:27:59,ROUTINE,26.8,8.7,9318.0,0.0,1013.5
WX-00000214,AP-0005,2026-07-23T12:27:59,ROUTINE,29.4,12.0,9526.0,0.0,1019.6
WX-00000215,AP-0005,2026-07-23T13:27:59,ROUTINE,26.7,,9640.0,0.0,1019.7
WX-00000216,AP-0005,2026-07-23T14:27:59,ROUTINE,27.3,3.6,9729.0,0.0,1010.8
WX-00000217,AP-0005,2026-07-23T15:27:59,ROUTINE,27.1,3.0,9585.0,0.0,1023.4
WX-00000218,AP-0005,2026-07-23T16:27:59,SPECIAL,27.3,4.5,9814.0,0.0,996.3
WX-00000219,AP-0005,2026-07-23T17:27:59,ROUTINE,26.1,13.6,9823.0,0.0,1013.7
WX-00000220,AP-0005,2026-07-23T18:27:59,ROUTINE,27.3,12.3,4924.0,0.0,1012.7
WX-00000221,AP-0005,2026-07-23T19:27:59,ROUTINE,28.8,5.6,9540.0,0.0,1004.8
WX-00000222,AP-0005,2026-07-23T20:27:59,ROUTINE,25.8,4.2,10000.0,0.0,1012.9
WX-00000223,AP-0005,2026-07-23T21:27:59,SPECIAL,26.8,9.4,9576.0,0.0,1016.1
WX-00000224,AP-0005,2026-07-23T22:27:59,ROUTINE,24.3,10.7,1851.0,0.0,1014.7
WX-00000225,AP-0005,2026-07-23T23:27:59,ROUTINE,30.4,2.1,9850.0,0.0,1005.7
WX-00000226,AP-0005,2026-07-24T00:27:59,SPECIAL,31.7,8.8,9465.0,0.0,1022.4
WX-00000227,AP-0005,2026-07-24T01:27:59,ROUTINE,28.3,9.0,9788.0,0.0,999.2
WX-00000228,AP-0005,2026-07-24T02:27:59,ROUTINE,27.2,13.8,791.0,0.0,1007.5
WX-00000229,AP-0005,2026-07-24T03:27:59,SPECIAL,27.4,14.7,10000.0,0.0,1013.5
WX-00000230,AP-0005,2026-07-24T04:27:59,ROUTINE,27.3,25.0,9432.0,0.0,1007.2
WX-00000231,AP-0005,2026-07-24T05:27:59,ROUTINE,28.1,10.1,9369.0,0.0,1019.9
WX-00000232,AP-0005,2026-07-24T06:27:59,ROUTINE,27.5,12.6,9062.0,0.0,1002.3
WX-00000233,AP-0005,2026-07-24T07:27:59,ROUTINE,28.9,2.0,10000.0,0.0,1014.1
WX-00000234,AP-0005,2026-07-24T08:27:59,ROUTINE,31.8,9.6,10000.0,0.0,1023.1
WX-00000235,AP-0005,2026-07-24T09:27:59,ROUTINE,28.2,7.0,10000.0,0.0,1000.2
WX-00000236,AP-0005,2026-07-24T10:27:59,ROUTINE,27.8,,9461.0,0.0,1009.2
WX-00000237,AP-0005,2026-07-24T11:27:59,ROUTINE,31.6,44.6,9793.0,0.0,1017.9
WX-00000238,AP-0005,2026-07-24T12:27:59,ROUTINE,27.3,6.2,9700.0,0.0,999.7
WX-00000239,AP-0005,2026-07-24T13:27:59,ROUTINE,24.8,6.8,10000.0,0.0,1014.1
WX-00000240,AP-0005,2026-07-24T14:27:59,ROUTINE,27.7,13.4,9980.0,0.0,1015.4
WX-00000241,AP-0006,2026-07-22T15:27:59,ROUTINE,35.0,18.6,9715.0,0.8,1015.3
WX-00000242,AP-0006,2026-07-22T16:27:59,ROUTINE,36.0,17.2,9931.0,0.0,1008.6
WX-00000243,AP-0006,2026-07-22T17:27:59,ROUTINE,34.7,1.4,9404.0,0.0,1001.4
WX-00000244,AP-0006,2026-07-22T18:27:59,ROUTINE,32.1,11.6,,0.0,1002.8
WX-00000245,AP-0006,2026-07-22T19:27:59,ROUTINE,38.5,6.0,9274.0,1.3,1012.5
WX-00000246,AP-0006,2026-07-22T20:27:59,ROUTINE,37.8,3.5,9553.0,0.0,1019.6
WX-00000247,AP-0006,2026-07-22T21:27:59,SPECIAL,34.8,3.9,10000.0,0.0,1012.0
WX-00000248,AP-0006,2026-07-22T22:27:59,ROUTINE,33.5,2.7,9888.0,0.0,1010.0
WX-00000249,AP-0006,2026-07-22T23:27:59,ROUTINE,32.3,9.0,10000.0,0.0,1012.0
WX-00000250,AP-0006,2026-07-23T00:27:59,ROUTINE,36.6,5.5,9683.0,0.0,1011.3
WX-00000251,AP-0006,2026-07-23T01:27:59,SPECIAL,36.3,12.3,9346.0,0.0,1009.6
WX-00000252,AP-0006,2026-07-23T02:27:59,ROUTINE,35.6,3.0,9168.0,0.0,1013.9
WX-00000253,AP-0006,2026-07-23T03:27:59,ROUTINE,34.7,15.7,9302.0,0.0,1007.7
