part_id,part_number,description,category,unit_cost_usd,manufacturer
PT-000077,PN-ROT-000077,Composant synthétique rotable #77,ROTABLE,21264.55,MeridianJet Corp
PT-000078,PN-CON-000078,Composant synthétique consumable #78,CONSUMABLE,10.04,SynAero Industries
PT-000079,PN-CON-000079,Composant synthétique consumable #79,CONSUMABLE,13.42,SynAero Industries
PT-000080,PN-CON-000080,Composant synthétique consumable #80,CONSUMABLE,32.02,SynPower Turbines
PT-000081,PN-CON-000081,Composant synthétique consumable #81,CONSUMABLE,52.22,SynAero Industries
PT-000082,PN-CON-000082,Composant synthétique consumable #82,CONSUMABLE,4.99,SynAero Industries
PT-000083,PN-CON-000083,Composant synthétique consumable #83,CONSUMABLE,17.96,SynAero Industries
PT-000084,PN-REP-000084,Composant synthétique repairable #84,REPAIRABLE,1419.05,SynAero Industries
PT-000085,PN-CON-000085,Composant synthétique consumable #85,CONSUMABLE,12.6,SynAero Industries
PT-000086,PN-CON-000086,Composant synthétique consumable #86,CONSUMABLE,17.29,SynPower Turbines
PT-000087,PN-CON-000087,Composant synthétique consumable #87,CONSUMABLE,12.34,SynPower Turbines
PT-000088,PN-ROT-000088,Composant synthétique rotable #88,ROTABLE,13940.49,SynAero Industries
PT-000089,PN-CON-000089,Composant synthétique consumable #89,CONSUMABLE,20.47,SynAero Industries
PT-000090,PN-CON-000090,Composant synthétique consumable #90,CONSUMABLE,24.45,MeridianDrive Propulsion
PT-000091,PN-REP-000091,Composant synthétique repairable #91,REPAIRABLE,1736.56,MeridianDrive Propulsion
PT-000092,PN-CON-000092,Composant synthétique consumable #92,CONSUMABLE,33.3,SynPower Turbines
PT-000093,PN-CON-000093,Composant synthétique consumable #93,CONSUMABLE,36.12,MeridianDrive Propulsion
PT-000094,PN-ROT-000094,Composant synthétique rotable #94,ROTABLE,15857.89,SynAero Industries
PT-000095,PN-ROT-000095,Composant synthétique rotable #95,ROTABLE,5149.21,SynPower Turbines
PT-000096,PN-ROT-000096,Composant synthétique rotable #96,ROTABLE,18088.19,SynAero Industries
PT-000097,PN-ROT-000097,Composant synthétique rotable #97,ROTABLE,13235.9,SynAero Industries
PT-000098,PN-CON-000098,Composant synthétique consumable #98,CONSUMABLE,44.51,SynAero Industries
PT-000099,PN-ROT-000099,Composant synthétique rotable #99,ROTABLE,13042.57,MeridianJet Corp
PT-000100,PN-CON-000100,Composant synthétique consumable #100,CONSUMABLE,34.39,SynPower Turbines
PT-000101,PN-ROT-000101,Composant synthétique rotable #101,ROTABLE,15446.13,SynAero Industries
PT-000102,PN-ROT-000102,Composant synthétique rotable #102,ROTABLE,24137.0,SynAero Industries
PT-000103,PN-ROT-000103,Composant synthétique rotable #103,ROTABLE,60820.37,SynPower Turbines
PT-000104,PN-CON-000104,Composant synthétique consumable #104,CONSUMABLE,53.89,SynAero Industries
PT-000105,PN-CON-000105,Composant synthétique consumable #105,CONSUMABLE,26.48,SynPower Turbines
PT-000106,PN-CON-000106,Composant synthétique consumable #106,CONSUMABLE,11.87,SynAero Industries
PT-000107,PN-ROT-000107,Composant synthétique rotable #107,ROTABLE,16667.32,SynAero Industries
PT-000108,PN-CON-000108,Composant synthétique consumable #108,CONSUMABLE,41.51,SynPower Turbines
PT-000109,PN-ROT-000109,Composant synthétique rotable #109,ROTABLE,14188.29,MeridianDrive Propulsion
PT-000110,PN-REP-000110,Composant synthétique repairable #110,REPAIRABLE,12248.13,SynAero Industries
PT-000111,PN-CON-000111,Composant synthétique consumable #111,CONSUMABLE,25.89,SynPower Turbines
PT-000112,PN-REP-000112,Composant synthétique repairable #112,REPAIRABLE,2978.05,SynAero Industries
PT-000113,PN-CON-000113,Composant synthétique consumable #113,CONSUMABLE,37.74,SynPower Turbines
PT-000114,PN-REP-000114,Composant synthétique repairable #114,REPAIRABLE,872.97,MeridianDrive Propulsion
PT-000115,PN-ROT-000115,Composant synthétique rotable #115,ROTABLE,10076.14,MeridianJet Corp
PT-000116,PN-ROT-000116,Composant synthétique rotable #116,ROTABLE,18891.67,SynPower Turbines
PT-000117,PN-CON-000117,Composant synthétique consumable #117,CONSUMABLE,17.09,SynAero Industries
PT-000118,PN-REP-000118,Composant synthétique repairable #118,REPAIRABLE,4245.31,MeridianDrive Propulsion
PT-000119,PN-CON-000119,Composant synthétique consumable #119,CONSUMABLE,24.5,SynAero Industries
PT-000120,PN-REP-000120,Composant synthétique repairable #120,REPAIRABLE,713.55,SynPower Turbines
PT-000121,PN-CON-000121,Composant synthétique consumable #121,CONSUMABLE,14.66,SynAero Industries
PT-000122,PN-CON-000122,Composant synthétique consumable #122,CONSUMABLE,15.82,SynPower Turbines
PT-000123,PN-ROT-000123,Composant synthétique rotable #123,ROTABLE,12348.67,MeridianDrive Propulsion
PT-000124,PN-CON-000124,Composant synthétique consumable #124,CONSUMABLE,28.75,SynPower Turbines
PT-000125,PN-CON-000125,Composant synthétique consumable #125,CONSUMABLE,16.83,SynPower Turbines
PT-000126,PN-CON-000126,Composant synthétique consumable #126,CONSUMABLE,19.6,SynAero Industries
PT-000127,PN-CON-000127,Composant synthétique consumable #127,CONSUMABLE,35.52,SynAero Industries
PT-000128,PN-CON-000128,Composant synthétique consumable #128,CONSUMABLE,56.55,SynAero Industries
PT-000129,PN-ROT-000129,Composant synthétique rotable #129,ROTABLE,13026.69,SynPower Turbines
PT-000130,PN-ROT-000130,Composant synthétique rotable #130,ROTABLE,31805.87,SynAero Industries
PT-000131,PN-ROT-000131,Composant synthétique rotable #131,ROTABLE,20250.57,SynAero Industries
PT-000132,PN-CON-000132,Composant synthétique consumable #132,CONSUMABLE,16.87,SynAero Industries
PT-000133,PN-CON-000133,Composant synthétique consumable #133,CONSUMABLE,14.33,SynAero Industries
PT-000134,PN-ROT-000134,Composant synthétique rotable #134,ROTABLE,7670.47,SynPower Turbines
PT-000135,PN-CON-000135,Composant synthétique consumable #135,CONSUMABLE,21.62,SynPower Turbines
PT-000136,PN-CON-000136,Composant synthétique consumable #136,CONSUMABLE,38.39,MeridianDrive Propulsion
PT-000137,PN-ROT-000137,Composant synthétique rotable #137,ROTABLE,31560.9,SynPower Turbines
PT-000138,PN-CON-000138,Composant synthétique consumable #138,CONSUMABLE,19.68,MeridianJet Corp
PT-000139,PN-ROT-000139,Composant synthétique rotable #139,ROTABLE,18180.48,SynAero Industries
PT-000140,PN-CON-000140,Composant synthétique consumable #140,CONSUMABLE,13.08,SynPower Turbines
PT-000141,PN-CON-000141,Composant synthétique consumable #141,CONSUMABLE,14.86,MeridianDrive Propulsion
PT-000142,PN-CON-000142,Composant synthétique consumable #142,CONSUMABLE,8.03,SynPower Turbines
PT-000143,PN-CON-000143,Composant synthétique consumable #143,CONSUMABLE,38.0,SynPower Turbines
PT-000144,PN-CON-000144,Composant synthétique consumable #144,CONSUMABLE,35.96,MeridianJet Corp
PT-000145,PN-ROT-000145,Composant synthétique rotable #145,ROTABLE,5771.08,MeridianDrive Propulsion
PT-000146,PN-CON-000146,Composant synthétique consumable #146,CONSUMABLE,25.2,MeridianJet Corp
PT-000147,PN-ROT-000147,Composant synthétique rotable #147,ROTABLE,9843.68,SynAero Industries
PT-000148,PN-REP-000148,Composant synthétique repairable #148,REPAIRABLE,2837.37,SynAero Industries
PT-000149,PN-CON-000149,Composant synthétique consumable #149,CONSUMABLE,15.1,MeridianDrive Propulsion
PT-000150,PN-ROT-000150,Composant synthétique rotable #150,ROTABLE,31896.19,MeridianJet Corp
PT-000151,PN-CON-000151,Composant synthétique consumable #151,CONSUMABLE,45.11,MeridianDrive Propulsion
PT-000152,PN-CON-000152,Composant synthétique consumable #152,CONSUMABLE,17.72,SynPower Turbines
PT-000153,PN-CON-000153,Composant synthétique consumable #153,CONSUMABLE,46.16,SynPower Turbines
PT-000154,PN-REP-000154,Composant synthétique repairable #154,REPAIRABLE,6011.07,SynAero Industries
PT-000155,PN-CON-000155,Composant synthétique consumable #155,CONSUMABLE,26.98,MeridianDrive Propulsion
PT-000156,PN-CON-000156,Composant synthétique consumable #156,CONSUMABLE,24.13,SynAero Industries
