inventory_id,part_id,airport_id,work_order_id,supplier_id,transaction_type,quantity,transaction_ts,quantity_on_hand_after,unit_cost_usd
IV-000000083,PT-000057,AP-0003,,SU-001,RECEIPT,36,2012-11-15T18:28:02,40,8.45
IV-000000084,PT-000057,AP-0003,WO-000000350,,ISSUE,2,2021-05-09T01:35:12,38,8.45
IV-000000085,PT-000031,AP-0009,,SU-001,RECEIPT,25,2022-11-13T23:34:37,25,2267.78
IV-000000086,PT-000031,AP-0009,WO-000000065,,ISSUE,3,2022-11-30T01:40:14,22,2267.78
IV-000000087,PT-000031,AP-0009,,SU-003,RECEIPT,18,2022-12-09T20:27:45,40,2267.78
IV-000000088,PT-000042,AP-0012,,SU-003,RECEIPT,7,2013-11-12T12:10:35,7,
IV-000000089,PT-000042,AP-0012,WO-000000066,,ISSUE,2,2013-12-13T04:00:38,5,33.5
IV-000000090,PT-000143,AP-0001,,SU-003,RECEIPT,37,2009-01-25T03:01:39,37,38.0
IV-000000091,PT-000143,AP-0001,WO-000000068,,ISSUE,2,2009-03-16T16:17:57,35,38.0
IV-000000092,PT-000143,AP-0001,,SU-001,RECEIPT,5,2009-03-27T03:09:21,40,38.0
IV-000000093,PT-000124,AP-0013,,SU-003,RECEIPT,51,2021-03-17T02:06:32,51,28.75
IV-000000094,PT-000124,AP-0013,WO-000000069,,ISSUE,3,2021-04-17T04:49:01,48,28.75
IV-000000095,PT-000126,AP-0005,,SU-002,RECEIPT,12,2006-08-14T15:41:21,12,19.6
IV-000000096,PT-000126,AP-0005,WO-000000070,,ISSUE,1,2006-09-13T15:42:48,11,19.6
IV-000000097,PT-000126,AP-0005,,SU-001,RECEIPT,17,2006-09-20T03:32:58,28,19.6
IV-000000098,PT-000025,AP-0002,,SU-001,RECEIPT,6,2021-10-06T17:24:44,6,9641.24
IV-000000099,PT-000025,AP-0002,WO-000000074,,ISSUE,1,2021-11-10T10:07:06,5,9641.24
IV-000000100,PT-000019,AP-0013,,SU-002,RECEIPT,23,2018-07-02T15:34:26,23,1729.42
IV-000000101,PT-000019,AP-0013,WO-000000075,,ISSUE,2,2018-08-29T23:47:23,21,1729.42
IV-000000102,PT-000023,AP-0006,,SU-002,RECEIPT,59,2023-03-26T19:24:04,59,11.21
IV-000000103,PT-000023,AP-0006,WO-000000077,,ISSUE,3,2023-05-13T02:04:14,56,11.21
IV-000000104,PT-000023,AP-0006,,SU-002,RECEIPT,15,2023-05-13T14:04:14,71,11.21
IV-000000105,PT-000087,AP-0007,,SU-003,RECEIPT,35,2019-10-07T07:16:56,35,12.34
IV-000000106,PT-000087,AP-0007,WO-000000078,,ISSUE,1,2019-10-13T05:12:18,34,12.34
IV-000000107,PT-000087,AP-0007,,SU-003,RECEIPT,13,2019-10-13T17:12:18,47,12.34
IV-000000108,PT-000121,AP-0012,,SU-001,RECEIPT,59,2003-07-17T23:37:02,59,14.66
IV-000000109,PT-000121,AP-0012,WO-000000081,,ISSUE,1,2003-07-28T10:42:46,58,14.66
IV-000000110,PT-000027,AP-0015,,SU-001,RECEIPT,6,2014-11-26T02:12:10,6,
IV-000000111,PT-000027,AP-0015,WO-000000087,,ISSUE,1,2014-12-14T13:46:54,5,38.23
IV-000000112,PT-000075,AP-0009,,SU-004,RECEIPT,22,2023-01-01T10:09:49,22,1851.45
IV-000000113,PT-000075,AP-0009,WO-000000089,,ISSUE,3,2023-01-16T12:55:10,19,1851.45
IV-000000114,PT-000068,AP-0003,,SU-001,RECEIPT,15,2016-02-20T12:20:13,15,1426.59
IV-000000115,PT-000068,AP-0003,WO-000000092,,ISSUE,1,2016-03-29T07:45:40,14,1426.59
IV-000000116,PT-000068,AP-0003,,SU-004,RECEIPT,20,2016-03-31T01:53:13,34,1426.59
IV-000000117,PT-000040,AP-0011,,SU-004,RECEIPT,21,2007-01-09T17:31:48,21,39.83
IV-000000118,PT-000040,AP-0011,WO-000000093,,ISSUE,3,2007-02-28T14:14:28,18,39.83
IV-000000119,PT-000040,AP-0011,,SU-001,RECEIPT,39,2007-03-07T07:20:59,57,39.83
IV-000000120,PT-000146,AP-0015,,SU-004,RECEIPT,20,2008-05-26T22:51:19,20,25.2
IV-000000121,PT-000146,AP-0015,WO-000000094,,ISSUE,2,2008-06-22T08:03:30,18,25.2
IV-000000122,PT-000034,AP-0001,WO-000000305,,ISSUE,1,2021-10-20T16:49:34,0,21.52
IV-000000123,PT-000034,AP-0001,,SU-001,RECEIPT,11,2022-06-23T03:40:34,11,21.52
IV-000000124,PT-000034,AP-0001,WO-000000096,,ISSUE,2,2022-07-02T06:51:16,9,21.52
IV-000000125,PT-000082,AP-0001,,SU-002,RECEIPT,48,2022-06-22T11:19:32,48,4.99
IV-000000126,PT-000082,AP-0001,WO-000000097,,ISSUE,3,2022-07-02T06:20:47,45,4.99
IV-000000127,PT-000146,AP-0003,,SU-003,RECEIPT,32,2021-04-09T11:44:01,32,25.2
IV-000000128,PT-000146,AP-0003,WO-000000098,,ISSUE,2,2021-04-24T13:14:56,30,25.2
IV-000000129,PT-000146,AP-0003,,SU-001,RECEIPT,19,2021-05-01T13:17:57,49,25.2
IV-000000130,PT-000057,AP-0014,,SU-001,RECEIPT,15,2004-03-14T01:51:27,15,8.45
IV-000000131,PT-000057,AP-0014,WO-000000099,,ISSUE,1,2004-04-06T02:46:33,14,8.45
IV-000000132,PT-000057,AP-0014,,SU-002,RECEIPT,28,2004-04-19T23:17:39,42,8.45
IV-000000133,PT-000022,AP-0004,,SU-002,RECEIPT,52,2009-01-08T19:19:30,52,669.25
IV-000000134,PT-000022,AP-0004,WO-000000100,,ISSUE,2,2009-02-16T20:38:39,50,669.25
IV-000000135,PT-000022,AP-0004,,SU-001,RECEIPT,15,2009-02-27T18:21:03,65,669.25
IV-000000136,PT-000005,AP-0002,,SU-001,RECEIPT,46,2026-03-01T13:56:33,46,630.13
IV-000000137,PT-000005,AP-0002,WO-000000102,,ISSUE,3,2026-03-18T03:38:16,43,630.13
IV-000000138,PT-000061,AP-0003,,SU-003,RECEIPT,14,2023-11-06T13:26:24,14,7.3
IV-000000139,PT-000061,AP-0003,WO-000000103,,ISSUE,1,2023-11-22T03:26:32,13,7.3
IV-000000140,PT-000061,AP-0003,,SU-003,RECEIPT,30,2023-11-29T04:45:13,43,7.3
IV-000000141,PT-000101,AP-0014,,SU-003,RECEIPT,23,2002-03-29T18:00:04,23,15446.13
IV-000000142,PT-000101,AP-0014,WO-000000106,,ISSUE,3,2002-05-21T12:31:01,20,15446.13
IV-000000143,PT-000101,AP-0014,,SU-004,RECEIPT,21,2002-05-29T23:19:22,41,15446.13
IV-000000144,PT-000043,AP-0009,,SU-004,RECEIPT,37,2011-09-24T10:54:29,37,13.18
IV-000000145,PT-000043,AP-0009,WO-000000110,,ISSUE,3,2011-10-30T00:54:05,34,13.18
IV-000000146,PT-000043,AP-0009,,SU-003,RECEIPT,19,2011-11-11T19:56:52,53,13.18
IV-000000147,PT-000120,AP-0009,,SU-003,RECEIPT,6,2022-04-21T20:07:28,6,713.55
IV-000000148,PT-000120,AP-0009,WO-000000112,,ISSUE,2,2022-05-09T04:39:21,4,713.55
IV-000000149,PT-000114,AP-0009,,SU-004,RECEIPT,11,2022-04-12T19:55:13,11,872.97
IV-000000150,PT-000114,AP-0009,WO-000000113,,ISSUE,1,2022-05-09T04:21:13,10,872.97
IV-000000151,PT-000114,AP-0009,,SU-004,RECEIPT,32,2022-05-14T15:24:25,42,872.97
IV-000000152,PT-000075,AP-0015,,SU-002,RECEIPT,55,2010-10-30T18:42:33,55,1851.45
IV-000000153,PT-000075,AP-0015,WO-000000114,,ISSUE,2,2010-11-28T15:18:24,53,1851.45
IV-000000154,PT-000075,AP-0015,WO-000000198,,ISSUE,3,2020-09-14T11:16:01,50,1851.45
IV-000000155,PT-000121,AP-0015,,SU-001,RECEIPT,9,2010-11-06T12:06:14,9,14.66
IV-000000156,PT-000121,AP-0015,WO-000000116,,ISSUE,2,2010-11-28T15:42:43,7,14.66
IV-000000157,PT-000119,AP-0015,,SU-004,RECEIPT,8,2010-10-23T18:51:02,8,24.5
IV-000000158,PT-000119,AP-0015,WO-000000117,,ISSUE,3,2010-11-28T16:26:48,5,24.5
IV-000000159,PT-000119,AP-0015,,SU-002,RECEIPT,31,2010-12-11T00:40:12,36,24.5
IV-000000160,PT-000142,AP-0008,,SU-002,RECEIPT,38,2012-04-28T01:37:29,38,8.03
IV-000000161,PT-000142,AP-0008,WO-000000118,,ISSUE,2,2012-05-15T21:49:26,36,8.03
IV-000000162,PT-000133,AP-0008,,SU-004,RECEIPT,39,2012-03-22T13:41:46,39,14.33
IV-000000163,PT-000133,AP-0008,WO-000000119,,ISSUE,1,2012-05-15T22:08:38,38,14.33
IV-000000164,PT-000135,AP-0002,,SU-003,RECEIPT,38,2006-07-06T03:34:19,38,21.62
IV-000000165,PT-000135,AP-0002,WO-000000123,,ISSUE,1,2006-08-04T17:21:26,37,21.62
IV-000000166,PT-000135,AP-0002,,SU-004,RECEIPT,11,2006-08-12T12:48:08,48,21.62
IV-000000167,PT-000064,AP-0002,,SU-003,RECEIPT,39,2006-07-01T23:18:05,39,36.27
IV-000000168,PT-000064,AP-0002,WO-000000124,,ISSUE,2,2006-08-04T17:30:51,37,36.27
IV-000000169,PT-000074,AP-0002,,SU-002,RECEIPT,56,2006-06-15T12:39:41,56,3089.95
IV-000000170,PT-000074,AP-0002,WO-000000125,,ISSUE,1,2006-08-04T17:37:23,55,3089.95
IV-000000171,PT-000074,AP-0002,,SU-001,RECEIPT,24,2006-08-12T15:12:21,79,3089.95
IV-000000172,PT-000153,AP-0002,,SU-004,RECEIPT,51,2006-06-15T06:32:47,51,46.16
IV-000000173,PT-000153,AP-0002,WO-000000127,,ISSUE,1,2006-08-04T17:51:28,50,46.16
IV-000000174,PT-000153,AP-0002,,SU-004,RECEIPT,39,2006-08-11T21:14:58,89,46.16
IV-000000175,PT-000020,AP-0002,,SU-004,RECEIPT,28,2006-06-27T09:45:54,28,96.8
IV-000000176,PT-000020,AP-0002,WO-000000128,,ISSUE,2,2006-08-04T17:28:49,26,96.8
IV-000000177,PT-000077,AP-0002,,SU-001,RECEIPT,41,2006-07-20T11:37:42,41,21264.55
IV-000000178,PT-000077,AP-0002,WO-000000130,,ISSUE,2,2006-08-04T17:13:12,39,21264.55
IV-000000179,PT-000111,AP-0015,,SU-004,RECEIPT,16,2025-10-11T23:25:53,16,25.89
IV-000000180,PT-000111,AP-0015,WO-000000131,,ISSUE,1,2025-12-07T05:24:23,15,
IV-000000181,PT-000069,AP-0001,,SU-001,RECEIPT,57,2008-05-08T20:05:18,57,24.09
IV-000000182,PT-000069,AP-0001,WO-000000132,,ISSUE,2,2008-06-03T11:54:53,55,24.09
IV-000000183,PT-000069,AP-0001,,SU-003,RECEIPT,18,2008-06-12T09:37:07,73,24.09
IV-000000184,PT-000003,AP-0008,,SU-003,RECEIPT,39,2013-10-26T23:36:55,39,10.48
IV-000000185,PT-000003,AP-0008,WO-000000136,,ISSUE,1,2013-11-25T06:02:09,38,10.48
IV-000000186,PT-000003,AP-0008,,SU-002,RECEIPT,15,2013-12-01T12:57:54,53,10.48
IV-000000187,PT-000132,AP-0011,,SU-002,RECEIPT,20,2015-07-19T10:56:30,20,16.87
IV-000000188,PT-000132,AP-0011,WO-000000139,,ISSUE,3,2015-08-19T04:45:34,17,16.87
IV-000000189,PT-000132,AP-0011,,SU-004,RECEIPT,24,2015-08-25T08:21:35,41,16.87
IV-000000190,PT-000026,AP-0011,,SU-004,RECEIPT,41,2015-08-06T16:14:34,41,16.31
IV-000000191,PT-000026,AP-0011,WO-000000140,,ISSUE,1,2015-08-19T04:47:54,40,16.31
IV-000000192,PT-000026,AP-0011,,SU-004,RECEIPT,31,2015-08-28T11:31:36,71,
IV-000000193,PT-000128,AP-0011,,SU-002,RECEIPT,44,2015-07-04T07:09:38,44,56.55
IV-000000194,PT-000128,AP-0011,WO-000000143,,ISSUE,3,2015-08-19T05:10:46,41,56.55
IV-000000195,PT-000129,AP-0011,WO-000000257,,ISSUE,1,2013-03-04T12:15:15,0,13026.69
IV-000000196,PT-000129,AP-0011,,SU-004,RECEIPT,33,2013-03-13T14:05:53,33,13026.69
IV-000000197,PT-000129,AP-0011,,SU-003,RECEIPT,52,2015-07-06T21:31:11,85,13026.69
IV-000000198,PT-000129,AP-0011,WO-000000146,,ISSUE,1,2015-08-19T05:02:07,84,13026.69
IV-000000199,PT-000078,AP-0014,,SU-004,RECEIPT,57,2012-10-02T02:08:46,57,10.04
IV-000000200,PT-000078,AP-0014,WO-000000148,,ISSUE,3,2012-11-30T12:06:02,54,10.04
IV-000000201,PT-000128,AP-0014,,SU-004,RECEIPT,56,2019-10-09T09:49:02,56,56.55
IV-000000202,PT-000128,AP-0014,WO-000000153,,ISSUE,3,2019-11-20T21:50:26,53,56.55
IV-000000203,PT-000128,AP-0014,,SU-003,RECEIPT,35,2019-11-21T09:50:26,88,56.55
IV-000000204,PT-000153,AP-0015,,SU-002,RECEIPT,32,2026-05-05T00:24:04,32,46.16
IV-000000205,PT-000153,AP-0015,WO-000000154,,ISSUE,2,2026-06-02T08:59:19,30,46.16
IV-000000206,PT-000056,AP-0001,,SU-003,RECEIPT,47,2018-07-26T01:44:30,47,46.89
IV-000000207,PT-000056,AP-0001,WO-000000155,,ISSUE,3,2018-09-23T02:38:39,44,46.89
IV-000000208,PT-000076,AP-0011,,SU-002,RECEIPT,5,2021-08-05T22:58:34,5,1298.89
IV-000000209,PT-000076,AP-0011,WO-000000156,,ISSUE,3,2021-08-30T11:46:20,2,1298.89
IV-000000210,PT-000137,AP-0011,,SU-001,RECEIPT,35,2021-07-06T20:59:09,35,31560.9
IV-000000211,PT-000137,AP-0011,WO-000000157,,ISSUE,3,2021-08-30T11:47:06,32,31560.9
IV-000000212,PT-000102,AP-0011,,SU-002,RECEIPT,14,2021-08-23T00:56:09,14,24137.0
IV-000000213,PT-000102,AP-0011,WO-000000158,,ISSUE,2,2021-08-30T11:43:09,12,24137.0
IV-000000214,PT-000069,AP-0011,,SU-004,RECEIPT,14,2021-08-17T23:38:27,14,24.09
IV-000000215,PT-000069,AP-0011,WO-000000159,,ISSUE,2,2021-08-30T12:11:09,12,24.09
IV-000000216,PT-000069,AP-0011,,SU-001,RECEIPT,10,2021-09-07T00:54:15,22,24.09
IV-000000217,PT-000085,AP-0011,,SU-002,RECEIPT,10,2021-07-18T04:25:40,10,12.6
IV-000000218,PT-000085,AP-0011,WO-000000160,,ISSUE,1,2021-08-30T12:09:38,9,12.6
IV-000000219,PT-000049,AP-0011,,SU-001,RECEIPT,7,2021-07-31T14:37:10,7,40.4
IV-000000220,PT-000049,AP-0011,WO-000000162,,ISSUE,2,2021-08-30T12:04:33,5,40.4
IV-000000221,PT-000080,AP-0011,,SU-003,RECEIPT,56,2021-08-09T10:03:27,56,32.02
IV-000000222,PT-000080,AP-0011,WO-000000163,,ISSUE,1,2021-08-30T12:29:15,55,32.02
IV-000000223,PT-000117,AP-0011,,SU-003,RECEIPT,9,2021-07-26T02:11:21,9,17.09
IV-000000224,PT-000117,AP-0011,WO-000000164,,ISSUE,2,2021-08-30T11:41:59,7,17.09
IV-000000225,PT-000117,AP-0011,,SU-001,RECEIPT,19,2021-09-09T09:42:31,26,17.09
IV-000000226,PT-000098,AP-0015,,SU-002,RECEIPT,43,2007-11-11T16:50:26,43,44.51
IV-000000227,PT-000098,AP-0015,WO-000000165,,ISSUE,2,2007-12-14T14:02:29,41,44.51
IV-000000228,PT-000098,AP-0015,,SU-002,RECEIPT,15,2007-12-21T14:21:42,56,44.51
IV-000000229,PT-000020,AP-0015,,SU-001,RECEIPT,16,2007-11-22T12:26:21,16,96.8
IV-000000230,PT-000020,AP-0015,WO-000000166,,ISSUE,1,2007-12-14T14:53:41,15,96.8
IV-000000231,PT-000129,AP-0004,,SU-004,RECEIPT,44,2024-10-07T03:35:48,44,13026.69
IV-000000232,PT-000129,AP-0004,WO-000000167,,ISSUE,1,2024-11-25T06:30:33,43,13026.69
IV-000000233,PT-000050,AP-0008,,SU-004,RECEIPT,31,2007-07-08T08:53:49,31,20.22
IV-000000234,PT-000050,AP-0008,WO-000000169,,ISSUE,1,2007-08-23T14:20:14,30,20.22
IV-000000235,PT-000050,AP-0008,,SU-003,RECEIPT,30,2007-08-29T05:26:39,60,20.22
IV-000000236,PT-000143,AP-0006,,SU-003,RECEIPT,48,2022-04-05T00:12:34,48,38.0
IV-000000237,PT-000143,AP-0006,WO-000000171,,ISSUE,3,2022-05-03T12:10:54,45,38.0
IV-000000238,PT-000135,AP-0006,,SU-001,RECEIPT,46,2022-03-21T18:13:35,46,21.62
IV-000000239,PT-000135,AP-0006,WO-000000173,,ISSUE,3,2022-05-03T12:14:46,43,21.62
IV-000000240,PT-000103,AP-0009,,SU-002,RECEIPT,47,2004-05-22T04:38:13,47,60820.37
IV-000000241,PT-000103,AP-0009,WO-000000176,,ISSUE,3,2004-06-24T09:18:26,44,60820.37
IV-000000242,PT-000103,AP-0009,,SU-004,RECEIPT,6,2004-06-26T03:42:33,50,60820.37
IV-000000243,PT-000128,AP-0010,,SU-003,RECEIPT,56,2009-01-27T13:09:11,56,56.55
IV-000000244,PT-000128,AP-0010,WO-000000178,,ISSUE,2,2009-03-24T22:23:04,54,56.55
IV-000000245,PT-000013,AP-0009,,SU-004,RECEIPT,23,2022-07-03T12:49:01,23,3457.77
IV-000000246,PT-000013,AP-0009,WO-000000179,,ISSUE,3,2022-07-31T08:17:06,20,3457.77
IV-000000247,PT-000141,AP-0014,,SU-004,RECEIPT,49,2013-12-02T18:59:28,49,14.86
IV-000000248,PT-000141,AP-0014,WO-000000181,,ISSUE,1,2013-12-10T14:48:45,48,14.86
IV-000000249,PT-000100,AP-0014,,SU-001,RECEIPT,16,2013-11-06T19:50:51,16,34.39
IV-000000250,PT-000100,AP-0014,WO-000000182,,ISSUE,3,2013-12-10T14:50:11,13,34.39
IV-000000251,PT-000090,AP-0014,,SU-004,RECEIPT,47,2013-10-25T16:48:41,47,24.45
IV-000000252,PT-000090,AP-0014,WO-000000183,,ISSUE,2,2013-12-10T15:28:02,45,24.45
IV-000000253,PT-000090,AP-0014,,SU-004,RECEIPT,15,2013-12-19T23:20:21,60,24.45
IV-000000254,PT-000037,AP-0014,,SU-002,RECEIPT,25,2013-12-01T19:01:12,25,2047.48
IV-000000255,PT-000037,AP-0014,WO-000000184,,ISSUE,3,2013-12-10T14:43:57,22,2047.48
IV-000000256,PT-000037,AP-0014,,SU-003,RECEIPT,16,2013-12-20T22:12:55,38,
IV-000000257,PT-000052,AP-0007,,SU-003,RECEIPT,5,2021-08-25T15:15:21,5,12.03
IV-000000258,PT-000052,AP-0007,WO-000000189,,ISSUE,1,2021-10-13T20:24:21,4,12.03
