maintenance_event_id,aircraft_id,airport_id,triggering_failure_id,event_type,check_type,start_ts,end_ts,status
ME-00000041,AC-00002,AP-0006,FA-00000041,BASE,A_CHECK,2009-06-17T15:19:30,2009-06-20T23:37:07,CLOSED
ME-00000042,AC-00002,AP-0006,FA-00000042,BASE,B_CHECK,2018-08-31T15:22:01,2018-09-03T18:45:39,CLOSED
ME-00000043,AC-00002,AP-0003,FA-00000043,LINE,LINE_INSPECTION,2012-11-08T05:02:10,2012-11-08T08:29:28,CLOSED
ME-00000044,AC-00002,AP-0012,FA-00000044,LINE,TRANSIT_CHECK,2003-11-25T08:51:48,2003-11-25T14:47:41,CLOSED
ME-00000045,AC-00002,AP-0009,FA-00000045,LINE,TRANSIT_CHECK,2022-11-30T01:07:01,2022-11-30T04:37:14,CLOSED
ME-00000046,AC-00002,AP-0012,FA-00000046,LINE,LINE_INSPECTION,2013-12-13T02:45:28,2013-12-13T07:51:57,CLOSED
ME-00000047,AC-00002,AP-0001,FA-00000047,LINE,DAILY_CHECK,2014-02-15T19:42:35,2014-02-15T22:03:12,CLOSED
ME-00000048,AC-00002,AP-0001,FA-00000048,BASE,A_CHECK,2009-03-16T14:51:36,2009-03-18T00:50:11,CLOSED
ME-00000049,AC-00002,AP-0013,FA-00000049,BASE,,2021-04-17T03:29:47,2021-04-19T22:15:18,CLOSED
ME-00000050,AC-00002,AP-0005,FA-00000050,BASE,A_CHECK,2006-09-13T15:37:13,2006-09-15T19:06:40,CLOSED
ME-00000051,AC-00002,AP-0002,FA-00000051,BASE,B_CHECK,2009-03-02T20:35:50,2009-03-05T04:17:29,CLOSED
ME-00000052,AC-00002,AP-0002,FA-00000052,LINE,LINE_INSPECTION,2021-11-10T08:50:00,2021-11-10T13:05:01,CLOSED
ME-00000053,AC-00002,AP-0013,FA-00000053,AOG,AOG_RECOVERY,2018-08-29T23:28:51,2018-08-31T01:02:28,CLOSED
ME-00000054,AC-00002,AP-0006,FA-00000054,LINE,TRANSIT_CHECK,2023-05-13T01:26:52,2023-05-13T03:11:39,CLOSED
ME-00000055,AC-00002,AP-0007,FA-00000055,BASE,A_CHECK,2019-10-13T05:00:08,2019-10-16T04:29:15,CLOSED
ME-00000056,AC-00002,AP-0012,FA-00000056,BASE,B_CHECK,2003-07-28T10:17:10,2003-07-29T16:01:31,CLOSED
ME-00000057,AC-00002,AP-0003,FA-00000057,AOG,AOG_RECOVERY,2002-03-11T15:27:16,2002-03-12T18:59:25,CLOSED
ME-00000058,AC-00002,AP-0004,FA-00000058,BASE,B_CHECK,2006-11-25T18:59:13,2006-11-28T09:11:07,CLOSED
ME-00000059,AC-00002,AP-0015,FA-00000059,LINE,DAILY_CHECK,2014-12-14T12:31:58,2014-12-14T17:13:19,CLOSED
ME-00000060,AC-00002,AP-0008,FA-00000060,LINE,TRANSIT_CHECK,2002-04-08T18:36:56,2002-04-08T20:12:38,CLOSED
ME-00000061,AC-00002,AP-0009,FA-00000061,LINE,TRANSIT_CHECK,2023-01-16T11:47:48,2023-01-16T17:41:35,CLOSED
ME-00000062,AC-00002,AP-0003,FA-00000062,BASE,A_CHECK,2016-03-29T06:24:06,2016-03-30T10:22:58,CLOSED
ME-00000063,AC-00002,AP-0011,FA-00000063,BASE,A_CHECK,2007-02-28T13:08:22,2007-03-03T02:03:13,CLOSED
ME-00000064,AC-00002,AP-0015,FA-00000064,LINE,LINE_INSPECTION,2008-06-22T07:07:57,2008-06-22T08:40:56,CLOSED
ME-00000065,AC-00002,AP-0001,FA-00000065,BASE,A_CHECK,2022-07-02T06:00:23,2022-07-03T06:36:13,CLOSED
ME-00000066,AC-00002,AP-0003,FA-00000066,LINE,TRANSIT_CHECK,2021-04-24T12:33:48,2021-04-24T15:46:06,CLOSED
ME-00000067,AC-00002,AP-0014,FA-00000067,LINE,LINE_INSPECTION,2004-04-06T01:25:30,2004-04-06T04:56:19,CLOSED
ME-00000068,AC-00002,AP-0004,FA-00000068,BASE,A_CHECK,2009-02-16T19:16:45,2009-02-19T05:31:04,CLOSED
ME-00000069,AC-00002,AP-0015,FA-00000069,LINE,DAILY_CHECK,2008-01-19T18:12:01,2008-01-19T21:50:17,CLOSED
ME-00000070,AC-00002,AP-0002,FA-00000070,LINE,LINE_INSPECTION,2026-03-18T02:39:35,2026-03-18T04:41:17,CLOSED
ME-00000071,AC-00002,AP-0003,FA-00000071,LINE,LINE_INSPECTION,2023-11-22T03:03:27,2023-11-22T07:37:40,CLOSED
ME-00000072,AC-00002,AP-0014,FA-00000072,LINE,,2016-09-10T23:21:28,2016-09-11T05:19:57,CLOSED
ME-00000073,AC-00002,AP-0014,FA-00000073,BASE,A_CHECK,2002-05-21T11:33:10,2002-05-23T10:01:58,CLOSED
ME-00000074,AC-00002,AP-0007,FA-00000074,BASE,B_CHECK,2024-04-08T20:26:00,2024-04-11T21:31:54,CLOSED
ME-00000075,AC-00002,AP-0009,FA-00000075,LINE,TRANSIT_CHECK,2011-10-29T23:43:42,2011-10-30T05:11:04,CLOSED
ME-00000076,AC-00002,AP-0012,FA-00000076,LINE,DAILY_CHECK,2003-04-21T16:48:31,2003-04-21T20:03:32,CLOSED
ME-00000077,AC-00002,AP-0009,FA-00000077,AOG,AOG_RECOVERY,2022-05-09T04:10:20,2022-05-09T07:22:43,CLOSED
ME-00000078,AC-00002,AP-0015,FA-00000078,HEAVY,C_CHECK,2010-11-28T15:15:05,2010-12-27T21:18:07,CLOSED
ME-00000079,AC-00002,AP-0008,FA-00000079,BASE,A_CHECK,2012-05-15T21:29:38,2012-05-18T22:00:17,CLOSED
ME-00000080,AC-00002,AP-0009,FA-00000080,LINE,TRANSIT_CHECK,2015-01-24T03:40:52,2015-01-24T06:45:36,CLOSED
ME-00000081,AC-00002,AP-0010,FA-00000081,AOG,AOG_RECOVERY,2020-04-26T07:35:23,2020-04-26T23:55:39,CLOSED
ME-00000082,AC-00002,AP-0002,FA-00000082,HEAVY,C_CHECK,2006-08-04T17:06:02,2006-08-31T14:23:11,CLOSED
ME-00000083,AC-00002,AP-0015,FA-00000083,LINE,LINE_INSPECTION,2025-12-07T05:19:28,2025-12-07T08:44:31,CLOSED
ME-00000084,AC-00002,AP-0001,FA-00000084,LINE,TRANSIT_CHECK,2008-06-03T10:25:45,2008-06-03T11:44:14,CLOSED
ME-00000085,AC-00002,AP-0002,FA-00000085,LINE,DAILY_CHECK,2025-01-27T09:41:52,2025-01-27T11:38:23,CLOSED
ME-00000086,AC-00002,AP-0010,FA-00000086,BASE,B_CHECK,2019-09-30T06:28:29,2019-10-02T05:54:50,CLOSED
ME-00000087,AC-00002,AP-0003,FA-00000087,LINE,DAILY_CHECK,2004-11-06T02:44:05,2005-11-06T05:36:54,CLOSED
ME-00000088,AC-00002,AP-0008,FA-00000088,BASE,B_CHECK,2013-11-25T05:36:01,2013-11-28T11:50:22,CLOSED
ME-00000089,AC-00002,AP-0011,FA-00000089,HEAVY,STRUCTURAL_INSPECTION,2015-08-19T04:43:54,2015-08-30T10:31:36,CLOSED
ME-00000090,AC-00002,AP-0004,FA-00000090,AOG,,2014-12-07T22:20:52,2014-12-08T00:51:18,CLOSED
ME-00000091,AC-00002,AP-0014,FA-00000091,BASE,B_CHECK,2012-11-30T12:05:35,2012-12-04T03:05:59,CLOSED
ME-00000092,AC-00002,AP-0014,FA-00000092,BASE,B_CHECK,2010-03-08T21:19:24,2010-03-10T21:48:03,CLOSED
ME-00000093,AC-00002,AP-0014,FA-00000093,AOG,AOG_RECOVERY,2019-11-20T21:45:05,2019-11-22T03:31:41,CLOSED
ME-00000094,AC-00002,AP-0015,FA-00000094,AOG,AOG_RECOVERY,2026-06-02T07:48:11,2026-06-02T18:01:45,CLOSED
ME-00000095,AC-00002,AP-0001,FA-00000095,LINE,TRANSIT_CHECK,2018-09-23T02:02:04,2018-09-23T05:26:54,CLOSED
ME-00000096,AC-00002,AP-0011,FA-00000096,HEAVY,STRUCTURAL_INSPECTION,2021-08-30T11:40:26,2021-09-07T19:12:30,CLOSED
ME-00000097,AC-00002,AP-0015,FA-00000097,BASE,A_CHECK,2007-12-14T13:26:04,2007-12-16T13:13:47,CLOSED
ME-00000098,AC-00002,AP-0004,FA-00000098,BASE,B_CHECK,2024-11-25T06:05:27,2024-11-27T18:29:32,CLOSED
ME-00000099,AC-00002,AP-0008,FA-00000099,BASE,B_CHECK,2007-08-23T14:08:57,2007-08-25T11:31:45,CLOSED
ME-00000100,AC-00002,AP-0006,FA-00000100,BASE,B_CHECK,2022-05-03T11:48:13,2022-05-04T20:20:57,CLOSED
ME-00000101,AC-00002,AP-0007,FA-00000101,LINE,DAILY_CHECK,2020-04-25T09:22:44,2020-04-25T11:32:40,CLOSED
ME-00000102,AC-00002,AP-0007,FA-00000102,LINE,TRANSIT_CHECK,2008-06-13T14:50:02,2008-06-13T20:29:17,CLOSED
ME-00000103,AC-00002,AP-0009,FA-00000103,LINE,LINE_INSPECTION,2004-06-24T08:00:45,2004-06-24T12:39:21,CLOSED
ME-00000104,AC-00002,AP-0010,FA-00000104,AOG,AOG_RECOVERY,2009-03-24T22:07:14,2009-03-25T11:59:37,CLOSED
ME-00000105,AC-00002,AP-0009,FA-00000105,BASE,B_CHECK,2022-07-31T07:10:20,2022-08-02T23:40:55,CLOSED
ME-00000106,AC-00002,AP-0005,FA-00000106,LINE,TRANSIT_CHECK,2023-12-20T17:14:05,2023-12-20T19:04:13,CLOSED
ME-00000107,AC-00002,AP-0014,FA-00000107,HEAVY,D_CHECK,2013-12-10T14:40:36,2014-01-04T01:22:25,CLOSED
ME-00000108,AC-00002,AP-0011,FA-00000108,LINE,TRANSIT_CHECK,2016-01-13T05:36:49,2016-01-13T10:27:03,CLOSED
ME-00000109,AC-00002,AP-0007,FA-00000109,BASE,A_CHECK,2021-10-13T19:03:54,2021-10-16T02:12:18,CLOSED
ME-00000110,AC-00002,AP-0015,FA-00000110,LINE,TRANSIT_CHECK,2024-06-29T04:45:50,2024-06-29T09:25:38,CLOSED
ME-00000111,AC-00002,AP-0008,FA-00000111,LINE,LINE_INSPECTION,2020-12-13T16:33:53,2020-12-13T22:10:50,CLOSED
ME-00000112,AC-00002,AP-0001,FA-00000112,LINE,LINE_INSPECTION,2020-10-21T05:28:28,2020-10-21T11:23:41,CLOSED
ME-00000113,AC-00002,AP-0001,FA-00000113,LINE,LINE_INSPECTION,2015-02-27T09:07:12,2015-02-27T13:08:07,CLOSED
ME-00000114,AC-00002,AP-0015,FA-00000114,HEAVY,C_CHECK,2020-09-14T10:38:03,2020-10-02T02:06:08,CLOSED
ME-00000115,AC-00002,AP-0015,FA-00000115,LINE,LINE_INSPECTION,2012-04-08T21:35:58,2012-04-09T00:31:33,CLOSED
ME-00000116,AC-00002,AP-0013,FA-00000116,BASE,B_CHECK,2001-11-29T00:12:21,2001-11-30T11:37:20,CLOSED
ME-00000117,AC-00002,AP-0010,FA-00000117,AOG,AOG_RECOVERY,2020-04-06T15:34:30,2020-04-07T02:24:52,CLOSED
ME-00000118,AC-00002,AP-0015,FA-00000118,BASE,A_CHECK,2024-09-27T12:29:27,2024-09-29T01:57:34,CLOSED
ME-00000119,AC-00002,AP-0011,FA-00000119,LINE,TRANSIT_CHECK,2022-02-18T14:38:15,2022-02-18T16:24:55,CLOSED
ME-00000120,AC-00002,AP-0003,FA-00000120,BASE,A_CHECK,2015-05-07T20:10:15,2015-05-08T21:14:05,CLOSED
ME-00000121,AC-00002,AP-0012,FA-00000121,LINE,LINE_INSPECTION,2020-01-26T06:18:38,2020-01-26T10:53:52,CLOSED
ME-00000122,AC-00002,AP-0015,FA-00000122,AOG,AOG_RECOVERY,2011-03-11T17:44:15,2011-03-12T08:47:31,CLOSED
ME-00000123,AC-00002,AP-0012,FA-00000123,LINE,LINE_INSPECTION,2006-08-10T18:46:06,2006-08-11T00:29:14,CLOSED
ME-00000124,AC-00002,AP-0009,FA-00000124,LINE,LINE_INSPECTION,2005-12-06T10:41:58,2005-12-06T15:33:21,CLOSED
ME-00000125,AC-00002,AP-0015,FA-00000125,BASE,B_CHECK,2016-05-02T19:30:20,2016-05-06T10:58:20,CLOSED
ME-00000126,AC-00002,AP-0007,FA-00000126,HEAVY,D_CHECK,2012-06-09T11:35:13,2012-07-01T11:16:42,CLOSED
ME-00000127,AC-00002,AP-0015,FA-00000127,BASE,A_CHECK,2008-09-22T14:07:12,2008-09-24T03:15:35,CLOSED
ME-00000128,AC-00002,AP-0015,FA-00000128,BASE,A_CHECK,2024-01-23T04:03:40,2024-01-24T07:01:11,CLOSED
ME-00000129,AC-00002,AP-0013,FA-00000129,BASE,A_CHECK,2017-01-01T15:38:27,2017-01-05T00:35:21,CLOSED
ME-00000130,AC-00002,AP-0005,FA-00000130,LINE,TRANSIT_CHECK,2009-07-09T04:23:36,2009-07-09T06:15:32,CLOSED
ME-00000131,AC-00002,AP-0015,FA-00000131,BASE,B_CHECK,2023-01-28T05:14:10,2023-02-01T01:22:50,CLOSED
ME-00000132,AC-00002,AP-0004,FA-00000132,BASE,B_CHECK,2023-10-14T19:26:04,2023-10-17T19:32:25,CLOSED
ME-00000133,AC-00002,AP-0003,FA-00000133,LINE,TRANSIT_CHECK,2013-07-10T06:53:35,2013-07-10T12:11:43,CLOSED
ME-00000134,AC-00002,AP-0002,FA-00000134,LINE,TRANSIT_CHECK,2015-06-10T06:25:38,2015-06-10T08:24:42,CLOSED
ME-00000135,AC-00002,AP-0008,FA-00000135,LINE,DAILY_CHECK,2002-02-19T20:33:57,2002-02-20T01:29:45,CLOSED
ME-00000136,AC-00002,AP-0010,FA-00000136,BASE,B_CHECK,2026-02-13T15:02:29,2026-02-17T01:40:02,CLOSED
ME-00000137,AC-00002,AP-0015,FA-00000137,AOG,AOG_RECOVERY,2010-07-29T12:59:10,2010-07-30T04:47:03,CLOSED
ME-00000138,AC-00002,AP-0012,FA-00000138,LINE,LINE_INSPECTION,2012-06-24T19:00:41,2012-06-24T23:19:05,CLOSED
ME-00000139,AC-00002,AP-0015,FA-00000139,BASE,B_CHECK,2004-08-19T06:41:13,2004-08-20T15:49:44,CLOSED
ME-00000140,AC-00002,AP-0005,FA-00000140,BASE,B_CHECK,2017-07-10T09:30:59,2017-07-13T23:39:53,CLOSED
ME-00000141,AC-00002,AP-0005,FA-00000141,HEAVY,STRUCTURAL_INSPECTION,2009-09-24T10:49:26,2009-10-20T01:49:48,CLOSED
ME-00000142,AC-00002,AP-0010,FA-00000142,LINE,TRANSIT_CHECK,2005-03-03T21:35:12,2005-03-04T01:23:55,CLOSED
ME-00000143,AC-00002,AP-0007,FA-00000143,LINE,DAILY_CHECK,2024-04-19T04:10:08,2024-04-19T09:54:03,CLOSED
ME-00000144,AC-00002,AP-0005,FA-00000144,BASE,A_CHECK,2018-03-13T00:16:51,2018-03-15T18:38:38,CLOSED
ME-00000145,AC-00002,AP-0006,FA-00000145,LINE,LINE_INSPECTION,2021-03-09T02:25:55,2021-03-09T05:18:49,CLOSED
ME-00000146,AC-00002,AP-0003,FA-00000146,LINE,LINE_INSPECTION,2025-08-06T16:41:57,2025-08-06T18:42:40,CLOSED
ME-00000147,AC-00002,AP-0010,FA-00000147,LINE,DAILY_CHECK,2023-03-16T20:26:40,2023-03-16T23:05:29,CLOSED
ME-00000148,AC-00002,AP-0011,FA-00000148,AOG,AOG_RECOVERY,2013-03-04T11:58:15,2013-03-05T00:39:11,CLOSED
ME-00000149,AC-00002,AP-0008,FA-00000149,BASE,A_CHECK,2005-04-27T12:13:52,2005-04-29T12:40:12,CLOSED
ME-00000150,AC-00002,AP-0014,FA-00000150,BASE,A_CHECK,2026-05-29T14:45:08,2026-06-02T13:15:31,CLOSED
ME-00000151,AC-00002,AP-0010,FA-00000151,AOG,AOG_RECOVERY,2024-03-06T00:54:40,2024-03-07T05:10:59,CLOSED
ME-00000152,AC-00002,AP-0006,FA-00000152,AOG,AOG_RECOVERY,2011-12-10T06:15:49,2011-12-11T05:16:32,CLOSED
ME-00000153,AC-00002,AP-0005,FA-00000153,LINE,DAILY_CHECK,2015-01-28T02:37:17,2015-01-28T05:17:38,CLOSED
ME-00000154,AC-00002,AP-0007,FA-00000154,HEAVY,STRUCTURAL_INSPECTION,2020-05-02T09:44:58,2020-05-30T20:23:41,CLOSED
ME-00000155,AC-00002,AP-0005,FA-00000155,LINE,DAILY_CHECK,2011-06-13T10:33:38,2011-06-13T15:29:51,CLOSED
ME-00000156,AC-00002,AP-0005,FA-00000156,LINE,DAILY_CHECK,2025-08-23T18:26:13,2025-08-23T21:48:21,CLOSED
ME-00000157,AC-00002,AP-0012,FA-00000157,LINE,LINE_INSPECTION,2023-10-27T05:31:16,2023-10-27T08:43:07,CLOSED
ME-00000158,AC-00002,AP-0014,FA-00000158,BASE,A_CHECK,2013-02-19T00:48:47,2013-02-21T16:01:41,CLOSED
ME-00000159,AC-00002,AP-0008,FA-00000159,HEAVY,C_CHECK,2011-05-24T09:58:50,2011-06-22T12:11:05,CLOSED
ME-00000160,AC-00002,AP-0014,FA-00000160,BASE,B_CHECK,2007-12-07T07:49:54,2007-12-11T06:21:00,CLOSED
ME-00000161,AC-00002,AP-0010,FA-00000161,LINE,LINE_INSPECTION,2011-01-09T19:57:21,2011-01-09T22:26:51,CLOSED
ME-00000162,AC-00002,AP-0011,FA-00000162,LINE,LINE_INSPECTION,2021-11-27T06:51:32,2021-11-27T09:55:34,CLOSED
ME-00000163,AC-00002,AP-0004,FA-00000163,AOG,AOG_RECOVERY,2012-01-10T03:00:58,2012-01-10T14:22:49,CLOSED
ME-00000164,AC-00002,AP-0006,FA-00000164,AOG,AOG_RECOVERY,2020-01-22T10:56:03,2020-01-22T19:56:56,CLOSED
ME-00000165,AC-00002,AP-0003,FA-00000165,LINE,LINE_INSPECTION,2017-04-19T23:01:00,2017-04-20T02:48:23,CLOSED
ME-00000166,AC-00002,AP-0015,FA-00000166,BASE,B_CHECK,2006-05-20T17:48:57,2006-05-23T21:09:25,CLOSED
ME-00000167,AC-00002,AP-0008,FA-00000167,BASE,B_CHECK,2009-07-05T02:28:07,2009-07-07T10:22:57,CLOSED
ME-00000168,AC-00002,AP-0014,FA-00000168,LINE,LINE_INSPECTION,2014-04-26T19:40:29,2014-04-27T00:07:16,CLOSED
ME-00000169,AC-00002,AP-0014,FA-00000169,AOG,AOG_RECOVERY,2018-08-08T09:27:20,2018-08-09T00:52:07,CLOSED
ME-00000170,AC-00002,AP-0001,FA-00000170,BASE,A_CHECK,2021-10-20T16:22:29,2021-10-23T18:44:53,CLOSED
ME-00000171,AC-00002,AP-0011,FA-00000171,LINE,DAILY_CHECK,2025-06-01T02:35:46,2025-06-01T04:28:45,CLOSED
ME-00000172,AC-00002,AP-0005,FA-00000172,LINE,LINE_INSPECTION,2015-08-03T12:01:30,2015-08-03T15:41:24,CLOSED
ME-00000173,AC-00002,AP-0014,FA-00000173,LINE,DAILY_CHECK,2023-11-23T05:48:18,2023-11-23T08:26:24,CLOSED
ME-00000174,AC-00002,AP-0003,FA-00000174,BASE,A_CHECK,2019-03-31T14:21:27,2019-04-02T00:17:58,CLOSED
ME-00000175,AC-00002,AP-0014,FA-00000175,BASE,B_CHECK,2018-04-22T12:26:07,2018-04-26T11:48:24,CLOSED
ME-00000176,AC-00002,AP-0014,FA-00000176,LINE,LINE_INSPECTION,2025-08-16T14:22:44,2025-08-16T20:11:37,CLOSED
ME-00000177,AC-00002,AP-0011,FA-00000177,LINE,TRANSIT_CHECK,2017-10-14T22:44:31,2017-10-15T02:21:44,CLOSED
ME-00000178,AC-00002,AP-0005,FA-00000178,LINE,LINE_INSPECTION,2005-04-06T17:09:01,2005-04-06T22:54:39,CLOSED
ME-00000179,AC-00002,AP-0006,FA-00000179,AOG,AOG_RECOVERY,2016-02-20T06:57:16,2016-02-20T09:44:53,CLOSED
ME-00000180,AC-00002,AP-0006,FA-00000180,AOG,AOG_RECOVERY,2016-11-30T16:07:05,2016-11-30T19:20:51,CLOSED
ME-00000181,AC-00002,AP-0007,FA-00000181,LINE,TRANSIT_CHECK,2022-05-28T09:16:08,2022-05-28T15:15:04,CLOSED
ME-00000182,AC-00002,AP-0001,FA-00000182,LINE,LINE_INSPECTION,2003-05-11T12:41:02,2003-05-11T14:26:11,CLOSED
ME-00000183,AC-00002,AP-0009,FA-00000183,LINE,DAILY_CHECK,2022-05-08T02:02:48,2022-05-08T03:30:39,CLOSED
ME-00000184,AC-00002,AP-0010,FA-00000184,LINE,LINE_INSPECTION,2010-01-20T22:52:41,2010-01-21T03:42:05,CLOSED
ME-00000185,AC-00002,AP-0011,FA-00000185,LINE,DAILY_CHECK,2009-07-29T11:07:38,2009-07-29T13:51:03,CLOSED
ME-00000186,AC-00002,AP-0012,FA-00000186,LINE,DAILY_CHECK,2004-10-18T04:48:21,2004-10-18T06:05:05,CLOSED
ME-00000187,AC-00002,AP-0014,FA-00000187,LINE,DAILY_CHECK,2006-05-09T08:52:40,2006-05-09T11:56:08,CLOSED
ME-00000188,AC-00002,AP-0014,FA-00000188,LINE,LINE_INSPECTION,2008-12-25T19:52:29,2008-12-25T21:44:26,CLOSED
ME-00000189,AC-00002,AP-0012,FA-00000189,AOG,AOG_RECOVERY,2002-06-28T01:37:11,2002-06-29T02:49:23,CLOSED
ME-00000190,AC-00002,AP-0004,FA-00000190,LINE,LINE_INSPECTION,2024-05-12T18:55:09,2024-05-12T23:54:13,CLOSED
ME-00000191,AC-00002,AP-0007,FA-00000191,HEAVY,C_CHECK,2004-02-09T00:19:05,2004-02-19T12:38:13,CLOSED
ME-00000192,AC-00002,AP-0009,FA-00000192,BASE,A_CHECK,2014-12-18T12:17:43,2014-12-21T10:00:15,CLOSED
ME-00000193,AC-00002,AP-0011,FA-00000193,BASE,A_CHECK,2007-08-15T17:19:17,2007-08-17T04:35:03,CLOSED
