sensor_reading_id,flight_segment_id,engine_id,aircraft_id,ts,flight_phase,parameter_code,value,unit
SR-000000000039,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,VIBRATION,1.4907724311879742,units_0_5
SR-000000000040,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,EGT,816.7094395866035,C
SR-000000000041,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,N1,90.63554286009244,pct
SR-000000000042,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,N2,94.31942210266368,pct
SR-000000000043,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,FUEL_FLOW,2525.9682781010974,kg_h
SR-000000000044,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,OIL_TEMP,116.78302397114489,C
SR-000000000045,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,OIL_PRESSURE,,psi
SR-000000000046,FS-000000001,EN-000002,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,VIBRATION,1.2366781524623682,units_0_5
SR-000000000047,FS-000000001,,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,APU_EGT,51.14486124647147,C
SR-000000000048,FS-000000001,,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,CABIN_ALTITUDE,2528.673551626064,ft
SR-000000000049,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,EGT,753.8297406745936,C
SR-000000000050,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,N1,79.2476342495367,pct
SR-000000000051,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,N2,88.83194618313205,pct
SR-000000000052,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,FUEL_FLOW,1972.9503571925475,kg_h
SR-000000000053,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,OIL_TEMP,109.97226118721186,C
SR-000000000054,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,OIL_PRESSURE,55.511180321671965,psi
SR-000000000055,FS-000000001,EN-000001,AC-00001,2026-07-23T21:51:46,CLIMB,VIBRATION,1.3382025403135747,units_0_5
SR-000000000056,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,EGT,728.7726525609878,C
SR-000000000057,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,N1,84.6155315625652,pct
SR-000000000058,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,N2,89.98299217062674,pct
SR-000000000059,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,FUEL_FLOW,2083.646982505964,kg_h
SR-000000000060,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,OIL_TEMP,107.3563214947294,C
SR-000000000061,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,OIL_PRESSURE,56.4659526348277,psi
SR-000000000062,FS-000000001,EN-000002,AC-00001,2026-07-23T21:51:46,CLIMB,VIBRATION,1.4020536949439117,units_0_5
SR-000000000063,FS-000000001,,AC-00001,2026-07-23T21:51:46,CLIMB,APU_EGT,59.846849241885764,C
SR-000000000064,FS-000000001,,AC-00001,2026-07-23T21:51:46,CLIMB,CABIN_ALTITUDE,5793.331119653542,ft
SR-000000000065,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,EGT,671.5963436982424,C
SR-000000000066,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,N1,83.9243971115922,pct
SR-000000000067,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,N2,82.52279653252768,pct
SR-000000000068,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,FUEL_FLOW,1304.8115837828254,kg_h
SR-000000000069,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,OIL_TEMP,106.88190614795407,C
SR-000000000070,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,OIL_PRESSURE,56.26831720049189,psi
SR-000000000071,FS-000000001,EN-000001,AC-00001,2026-07-23T23:29:51,CRUISE,VIBRATION,1.3691936426296918,units_0_5
SR-000000000072,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,EGT,664.127585914416,C
SR-000000000073,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,N1,86.41320950171126,pct
SR-000000000074,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,N2,90.00982321500116,pct
SR-000000000075,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,FUEL_FLOW,1215.3628166058463,kg_h
SR-000000000076,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,OIL_TEMP,102.34094174735652,C
SR-000000000077,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,OIL_PRESSURE,52.6006431844976,psi
SR-000000000078,FS-000000001,EN-000002,AC-00001,2026-07-23T23:29:51,CRUISE,VIBRATION,1.3736649331857198,units_0_5
SR-000000000079,FS-000000001,,AC-00001,2026-07-23T23:29:51,CRUISE,APU_EGT,94.56138180193715,C
SR-000000000080,FS-000000001,,AC-00001,2026-07-23T23:29:51,CRUISE,CABIN_ALTITUDE,6919.590134325609,ft
SR-000000000081,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,EGT,700.7109147089893,C
SR-000000000082,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,N1,76.6822170957888,pct
SR-000000000083,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,N2,82.71849111352863,pct
SR-000000000084,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,FUEL_FLOW,1161.9727034980683,kg_h
SR-000000000085,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,OIL_TEMP,104.34211932245235,C
SR-000000000086,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,OIL_PRESSURE,54.82770417621253,psi
SR-000000000087,FS-000000001,EN-000001,AC-00001,2026-07-24T00:09:05,CRUISE,VIBRATION,1.4281021282275534,units_0_5
SR-000000000088,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,EGT,629.937959507377,C
SR-000000000089,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,N1,80.86510811630657,pct
SR-000000000090,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,N2,85.45519591553648,pct
SR-000000000091,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,FUEL_FLOW,1301.0028340554518,kg_h
SR-000000000092,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,OIL_TEMP,104.91650349893787,C
SR-000000000093,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,OIL_PRESSURE,57.94253804634808,psi
SR-000000000094,FS-000000001,EN-000002,AC-00001,2026-07-24T00:09:05,CRUISE,VIBRATION,1.4144538622013103,units_0_5
SR-000000000095,FS-000000001,,AC-00001,2026-07-24T00:09:05,CRUISE,APU_EGT,116.4839936772088,C
SR-000000000096,FS-000000001,,AC-00001,2026-07-24T00:09:05,CRUISE,CABIN_ALTITUDE,7132.781950883486,ft
SR-000000000097,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,EGT,668.8489253017017,C
SR-000000000098,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,N1,80.81464668780131,pct
SR-000000000099,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,N2,83.298038044061,pct
SR-000000000100,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,FUEL_FLOW,1254.2079691815807,kg_h
SR-000000000101,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,OIL_TEMP,109.49307964490397,C
SR-000000000102,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,OIL_PRESSURE,50.14552677939586,psi
SR-000000000103,FS-000000001,EN-000001,AC-00001,2026-07-24T00:48:19,CRUISE,VIBRATION,1.495049143277364,units_0_5
SR-000000000104,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,EGT,1180.4872669861077,C
SR-000000000105,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,N1,81.59466679700982,pct
SR-000000000106,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,N2,87.51736134623205,pct
SR-000000000107,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,FUEL_FLOW,1101.599030826529,kg_h
SR-000000000108,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,OIL_TEMP,107.85237922739448,C
SR-000000000109,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,OIL_PRESSURE,46.44799491619466,psi
SR-000000000110,FS-000000001,EN-000002,AC-00001,2026-07-24T00:48:19,CRUISE,VIBRATION,1.3669912835439268,units_0_5
SR-000000000111,FS-000000001,,AC-00001,2026-07-24T00:48:19,CRUISE,APU_EGT,125.42425548342209,C
SR-000000000112,FS-000000001,,AC-00001,2026-07-24T00:48:19,CRUISE,CABIN_ALTITUDE,7388.29410917874,ft
SR-000000000113,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,EGT,628.0777969639307,C
SR-000000000114,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,N1,85.28759601752785,pct
SR-000000000115,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,N2,85.13603571952953,pct
SR-000000000116,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,FUEL_FLOW,1342.1969990864782,kg_h
SR-000000000117,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,OIL_TEMP,104.23715712826322,C
SR-000000000118,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,OIL_PRESSURE,58.51484734720486,psi
SR-000000000119,FS-000000001,EN-000001,AC-00001,2026-07-24T01:27:33,CRUISE,VIBRATION,1.513275515866907,units_0_5
SR-000000000121,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,N1,77.33162399236602,pct
SR-000000000120,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,EGT,645.7602860796836,C
SR-000000000122,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,N2,81.8069746428244,pct
SR-000000000123,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,FUEL_FLOW,1133.489067279112,kg_h
SR-000000000124,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,OIL_TEMP,112.97879286477789,C
SR-000000000125,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,OIL_PRESSURE,56.762202476432144,psi
SR-000000000126,FS-000000001,EN-000002,AC-00001,2026-07-24T01:27:33,CRUISE,VIBRATION,1.3408032296407042,units_0_5
SR-000000000127,FS-000000001,,AC-00001,2026-07-24T01:27:33,CRUISE,APU_EGT,65.84281466307063,C
SR-000000000128,FS-000000001,,AC-00001,2026-07-24T01:27:33,CRUISE,CABIN_ALTITUDE,7276.550982496649,ft
SR-000000000129,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,EGT,641.8440115274727,C
SR-000000000130,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,N1,81.93140571660977,pct
SR-000000000131,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,N2,76.97903560315436,pct
SR-000000000132,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,FUEL_FLOW,1351.9122701327815,kg_h
SR-000000000133,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,OIL_TEMP,105.88165194206748,C
SR-000000000134,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,OIL_PRESSURE,51.22242779965451,psi
SR-000000000135,FS-000000001,EN-000001,AC-00001,2026-07-24T02:06:47,CRUISE,VIBRATION,1.4932249094194914,units_0_5
SR-000000000136,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,EGT,672.5987998027749,C
SR-000000000137,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,N1,,pct
SR-000000000138,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,N2,82.6903806234809,pct
SR-000000000139,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,FUEL_FLOW,1268.0727111152594,kg_h
SR-000000000140,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,OIL_TEMP,108.6607312053103,C
SR-000000000141,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,OIL_PRESSURE,52.916012095683456,psi
SR-000000000142,FS-000000001,EN-000002,AC-00001,2026-07-24T02:06:47,CRUISE,VIBRATION,1.2669538286132023,units_0_5
SR-000000000143,FS-000000001,,AC-00001,2026-07-24T02:06:47,CRUISE,APU_EGT,34.949137618982604,C
SR-000000000144,FS-000000001,,AC-00001,2026-07-24T02:06:47,CRUISE,CABIN_ALTITUDE,6983.058605757498,ft
SR-000000000145,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,EGT,653.3977873153332,C
SR-000000000146,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,N1,84.00954221916797,pct
SR-000000000147,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,N2,83.49140712223604,pct
SR-000000000148,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,FUEL_FLOW,1359.8527623898783,kg_h
SR-000000000149,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,OIL_TEMP,103.91205354871184,C
SR-000000000150,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,OIL_PRESSURE,52.530892245720494,psi
SR-000000000151,FS-000000001,EN-000001,AC-00001,2026-07-24T02:46:00,CRUISE,VIBRATION,1.458843100601361,units_0_5
SR-000000000152,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,EGT,696.7668353565276,C
SR-000000000153,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,N1,79.09083587024091,pct
SR-000000000154,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,N2,82.08566451739269,pct
SR-000000000155,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,FUEL_FLOW,1325.7431890764947,kg_h
SR-000000000156,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,OIL_TEMP,105.12778489048199,C
SR-000000000157,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,OIL_PRESSURE,56.929018294672616,psi
SR-000000000158,FS-000000001,EN-000002,AC-00001,2026-07-24T02:46:00,CRUISE,VIBRATION,1.2998879212364705,units_0_5
SR-000000000159,FS-000000001,,AC-00001,2026-07-24T02:46:00,CRUISE,APU_EGT,81.60901453751237,C
SR-000000000160,FS-000000001,,AC-00001,2026-07-24T02:46:00,CRUISE,CABIN_ALTITUDE,6359.218801284504,ft
SR-000000000161,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,EGT,807.5972962512448,C
SR-000000000162,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,N1,49.3111317319576,pct
SR-000000000163,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,N2,59.87800290407692,pct
SR-000000000164,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,FUEL_FLOW,493.7410299299931,kg_h
SR-000000000165,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,OIL_TEMP,89.43009374863028,C
SR-000000000166,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,OIL_PRESSURE,58.567340479328735,psi
SR-000000000167,FS-000000001,EN-000001,AC-00001,2026-07-24T04:11:01,DESCENT,VIBRATION,1.3636658525769594,units_0_5
SR-000000000168,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,EGT,467.41687658349025,C
SR-000000000169,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,N1,46.510392514410086,pct
SR-000000000170,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,N2,63.45653148707643,pct
SR-000000000171,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,FUEL_FLOW,329.5067291364396,kg_h
SR-000000000172,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,OIL_TEMP,89.58345374601846,C
SR-000000000173,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,OIL_PRESSURE,49.65284463877465,psi
SR-000000000174,FS-000000001,EN-000002,AC-00001,2026-07-24T04:11:01,DESCENT,VIBRATION,1.2448115246578206,units_0_5
SR-000000000175,FS-000000001,,AC-00001,2026-07-24T04:11:01,DESCENT,APU_EGT,60.44390411599297,C
SR-000000000176,FS-000000001,,AC-00001,2026-07-24T04:11:01,DESCENT,CABIN_ALTITUDE,5556.974391354488,ft
SR-000000000177,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,EGT,461.06009421774974,C
SR-000000000178,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,N1,56.13904228087347,pct
SR-000000000179,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,N2,71.30033139894486,pct
SR-000000000180,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,FUEL_FLOW,576.7774972241689,kg_h
SR-000000000181,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,OIL_TEMP,80.48396125639708,C
SR-000000000182,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,OIL_PRESSURE,52.13765010866302,psi
SR-000000000183,FS-000000001,EN-000001,AC-00001,2026-07-24T05:19:24,APPROACH,VIBRATION,1.3595480103050872,units_0_5
SR-000000000184,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,EGT,433.5955729810792,C
SR-000000000185,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,N1,60.43592608949362,pct
SR-000000000186,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,N2,77.99343338873966,pct
SR-000000000187,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,FUEL_FLOW,598.1603796374401,kg_h
SR-000000000188,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,OIL_TEMP,84.85716598173241,C
SR-000000000189,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,OIL_PRESSURE,52.03590744942481,psi
SR-000000000190,FS-000000001,EN-000002,AC-00001,2026-07-24T05:19:24,APPROACH,VIBRATION,1.4179456123285241,units_0_5
SR-000000000191,FS-000000001,,AC-00001,2026-07-24T05:19:24,APPROACH,APU_EGT,,C
SR-000000000192,FS-000000001,,AC-00001,2026-07-24T05:19:24,APPROACH,CABIN_ALTITUDE,2236.7594287030756,ft
SR-000000000193,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,EGT,341.0701645711363,C
SR-000000000194,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,N1,35.42519131267429,pct
SR-000000000195,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,N2,57.5649172425904,pct
SR-000000000196,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,FUEL_FLOW,471.3000567725752,kg_h
SR-000000000197,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,OIL_TEMP,75.7379335339186,C
SR-000000000198,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,OIL_PRESSURE,55.03332761629133,psi
SR-000000000199,FS-000000001,EN-000001,AC-00001,2026-07-24T05:22:54,LANDING,VIBRATION,1.4405529337281424,units_0_5
SR-000000000200,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,EGT,377.61403662664037,C
SR-000000000201,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,N1,34.285346251668365,pct
SR-000000000202,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,N2,54.233309392383035,pct
SR-000000000203,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,FUEL_FLOW,352.48267497857216,kg_h
SR-000000000204,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,OIL_TEMP,78.22634058257769,C
SR-000000000205,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,OIL_PRESSURE,59.24782099761682,psi
SR-000000000206,FS-000000001,EN-000002,AC-00001,2026-07-24T05:22:54,LANDING,VIBRATION,1.3242552061572754,units_0_5
SR-000000000207,FS-000000001,,AC-00001,2026-07-24T05:22:54,LANDING,APU_EGT,68.24090323710321,C
SR-000000000208,FS-000000001,,AC-00001,2026-07-24T05:22:54,LANDING,CABIN_ALTITUDE,-287.5453033229758,ft
SR-000000000209,FS-000000001,,AC-00001,2026-07-24T05:22:54,LANDING,BRAKE_TEMPERATURE,1027.1894441929219,C
SR-000000000210,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,EGT,345.0106264116305,C
SR-000000000211,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,N1,16.778074471518025,pct
SR-000000000212,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,N2,50.25795206812793,pct
SR-000000000213,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,FUEL_FLOW,186.01229029278497,kg_h
SR-000000000214,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,OIL_TEMP,55.33088701659355,C
SR-000000000215,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,OIL_PRESSURE,17.76012246383789,psi
SR-000000000216,FS-000000001,EN-000001,AC-00001,2026-07-24T05:25:24,TAXI,VIBRATION,1.378059522555407,units_0_5
