failure_id,aircraft_id,engine_id,fault_code_id,flight_segment_id,detected_ts,severity,cycles_since_new_at_failure,rul_days_actual,resolved
FA-00000027,AC-00002,EN-000003,FC-00046,,2004-08-21T07:07:50,CRITICAL,16260,0.0,True
FA-00000028,AC-00002,EN-000003,FC-00045,,2013-10-14T22:40:31,MINOR,3531,0.0,True
FA-00000029,AC-00002,EN-000003,FC-00049,,2002-09-02T00:15:48,MINOR,24153,0.0,True
FA-00000030,AC-00002,EN-000004,FC-00031,,2002-04-03T19:16:46,MAJOR,52592,0.0,True
FA-00000031,AC-00002,EN-000004,FC-00046,,2008-03-21T19:38:25,CRITICAL,5789,0.0,True
FA-00000032,AC-00002,EN-000003,FC-00047,,2014-01-19T00:23:07,MINOR,16308,0.0,True
FA-00000033,AC-00002,EN-000003,FC-00042,,2020-08-30T08:56:17,MINOR,19113,0.0,True
FA-00000034,AC-00002,EN-000004,FC-00042,,2024-04-29T01:33:03,MINOR,21356,0.0,True
FA-00000035,AC-00002,EN-000003,FC-00035,,2016-12-15T21:02:58,MAJOR,32564,0.0,True
FA-00000036,AC-00002,EN-000003,FC-00037,,2009-09-27T08:02:46,MINOR,22784,0.0,True
FA-00000037,AC-00002,EN-000004,FC-00044,,2009-06-06T06:04:37,MINOR,41058,0.0,True
FA-00000038,AC-00002,EN-000004,FC-00026,,2007-02-03T01:07:14,CRITICAL,44838,0.0,True
FA-00000039,AC-00002,EN-000003,FC-00047,,2006-03-19T22:39:45,MINOR,51616,0.0,True
FA-00000040,AC-00002,EN-000004,FC-00045,,2003-10-18T00:58:54,MINOR,46471,0.0,True
FA-00000041,AC-00002,EN-000003,FC-00026,,2009-06-17T02:00:33,CRITICAL,49844,0.0,True
FA-00000042,AC-00002,EN-000003,FC-00031,,2018-08-31T02:19:59,MAJOR,7399,0.0,True
FA-00000043,AC-00002,EN-000004,FC-00035,,2012-11-08T03:22:25,MAJOR,17535,0.0,True
FA-00000044,AC-00002,EN-000004,FC-00040,,2003-11-25T06:18:28,MAJOR,9830,0.0,True
FA-00000045,AC-00002,EN-000003,FC-00028,,2022-11-29T23:45:27,MAJOR,43706,0.0,True
FA-00000046,AC-00002,EN-000003,FC-00026,,2013-12-12T21:48:34,CRITICAL,21134,0.0,True
FA-00000047,AC-00002,EN-000003,FC-00040,,2014-02-15T19:22:54,MAJOR,36567,0.0,True
FA-00000048,AC-00002,EN-000004,FC-00030,,2009-03-15T07:24:05,MINOR,13013,0.0,True
FA-00000049,AC-00002,EN-000003,FC-00037,,2021-04-15T07:41:36,MINOR,45756,0.0,True
FA-00000050,AC-00002,EN-000003,FC-00043,,2006-09-12T05:54:02,CRITICAL,15221,0.0,True
FA-00000051,AC-00002,,FC-00023,,2009-03-01T16:01:23,CRITICAL,20032,0.0,True
FA-00000052,AC-00002,,FC-00023,,2021-11-10T03:35:37,CRITICAL,37016,0.0,True
FA-00000053,AC-00002,,FC-00024,,2018-08-29T23:03:25,MAJOR,32518,0.0,True
FA-00000054,AC-00002,,FC-00024,,2023-05-12T20:56:27,MAJOR,51824,0.0,True
FA-00000055,AC-00002,,FC-00023,,2019-10-12T02:54:13,CRITICAL,16861,0.0,True
FA-00000056,AC-00002,,FC-00024,,2003-07-26T12:16:40,MAJOR,14066,0.0,True
FA-00000057,AC-00002,,FC-00025,,2002-03-11T14:51:44,MINOR,986,0.0,True
FA-00000058,AC-00002,,FC-00025,,2006-11-25T06:20:59,MINOR,10206,0.0,True
FA-00000059,AC-00002,,FC-00024,,2014-12-14T07:15:23,MAJOR,6143,0.0,True
FA-00000060,AC-00002,,FC-00023,,2002-04-08T18:10:27,CRITICAL,1398,0.0,True
FA-00000061,AC-00002,,FC-00023,,2023-01-16T09:23:39,CRITICAL,31620,0.0,True
FA-00000062,AC-00002,,FC-00025,,2016-03-28T04:46:35,MINOR,39958,0.0,True
FA-00000063,AC-00002,,FC-00025,,2007-02-27T22:01:22,MINOR,18108,0.0,True
FA-00000064,AC-00002,,FC-00024,,2008-06-22T01:54:06,MAJOR,53460,0.0,True
FA-00000065,AC-00002,,FC-00025,,2022-06-30T22:42:07,MINOR,9806,0.0,True
FA-00000066,AC-00002,,FC-00025,,2021-04-24T08:45:08,MINOR,24290,0.0,True
FA-00000067,AC-00002,,FC-00025,,2004-04-06T01:09:09,MINOR,35754,0.0,True
FA-00000068,AC-00002,,FC-00024,,2009-02-15T10:28:09,MAJOR,9406,0.0,True
FA-00000069,AC-00002,,FC-00012,,2008-01-19T17:55:30,CRITICAL,11088,0.0,True
FA-00000070,AC-00002,,FC-00013,,2026-03-18T00:32:33,MINOR,13591,0.0,True
FA-00000071,AC-00002,,FC-00012,,2023-11-21T22:42:00,CRITICAL,23573,0.0,True
FA-00000072,AC-00002,,FC-00012,,2016-09-10T21:33:40,CRITICAL,16274,0.0,True
FA-00000073,AC-00002,,FC-00013,,2002-05-19T16:49:57,MINOR,3225,0.0,True
FA-00000074,AC-00002,,FC-00012,,2024-04-07T13:37:51,CRITICAL,28545,0.0,True
FA-00000075,AC-00002,,FC-00013,,2011-10-29T23:01:41,MINOR,25291,0.0,True
FA-00000076,AC-00002,,FC-00012,,2003-04-21T11:01:20,CRITICAL,38356,0.0,True
FA-00000077,AC-00002,,FC-00013,,2022-05-09T03:14:33,MINOR,39203,0.0,True
FA-00000078,AC-00002,,FC-00012,,2010-11-25T12:28:13,CRITICAL,49822,0.0,True
FA-00000079,AC-00002,,FC-00012,,2012-05-14T13:57:27,CRITICAL,22797,0.0,True
FA-00000080,AC-00002,,FC-00012,,2015-01-23T22:04:22,CRITICAL,6382,0.0,True
FA-00000081,AC-00002,,FC-00012,,2020-04-26T07:09:09,CRITICAL,37432,0.0,True
FA-00000082,AC-00002,,FC-00013,,2006-07-28T08:28:35,MINOR,24414,0.0,True
FA-00000083,AC-00002,,FC-00012,,2025-12-07T03:28:04,CRITICAL,35211,0.0,True
FA-00000084,AC-00002,,FC-00013,,2008-06-03T05:00:12,MINOR,50796,0.0,True
FA-00000085,AC-00002,,FC-00012,,2025-01-27T05:47:19,CRITICAL,12510,0.0,True
FA-00000086,AC-00002,,FC-00013,,2019-09-28T12:45:24,MINOR,37424,0.0,True
FA-00000087,AC-00002,,FC-00013,,2004-11-06T01:11:32,MINOR,11431,0.0,True
FA-00000088,AC-00002,,FC-00012,,2013-11-23T22:50:06,CRITICAL,10066,0.0,True
FA-00000089,AC-00002,,FC-00012,,2015-08-13T15:35:24,CRITICAL,9515,0.0,True
FA-00000090,AC-00002,,FC-00012,,2014-12-07T21:40:22,CRITICAL,10547,0.0,True
FA-00000091,AC-00002,,FC-00013,,2012-11-28T13:04:52,MINOR,40195,0.0,True
FA-00000092,AC-00002,,FC-00012,,2010-03-07T04:40:17,CRITICAL,38981,0.0,True
FA-00000093,AC-00002,,FC-00012,,2019-11-20T21:13:24,CRITICAL,24346,0.0,True
FA-00000094,AC-00002,,FC-00012,,2026-06-02T06:55:36,CRITICAL,47638,0.0,True
FA-00000095,AC-00002,,FC-00012,,2018-09-22T21:39:17,CRITICAL,24701,0.0,True
FA-00000096,AC-00002,,FC-00015,,2021-08-25T17:27:51,MINOR,41667,0.0,True
FA-00000097,AC-00002,,FC-00015,,2007-12-12T23:28:55,MINOR,16949,0.0,True
FA-00000098,AC-00002,,FC-00014,,2024-11-24T12:51:15,MINOR,29322,0.0,True
FA-00000099,AC-00002,,FC-00014,,2007-08-22T21:42:04,MINOR,10183,0.0,True
FA-00000100,AC-00002,,FC-00015,,2022-05-02T06:00:54,MINOR,9286,0.0,True
FA-00000101,AC-00002,,FC-00014,,2020-04-25T05:25:48,MINOR,16588,0.0,True
FA-00000102,AC-00002,,FC-00015,,2008-06-13T09:48:02,MINOR,32968,0.0,True
FA-00000103,AC-00002,,FC-00014,,2004-06-24T07:47:30,MINOR,28413,0.0,True
FA-00000104,AC-00002,,FC-00015,,2009-03-24T21:43:06,MINOR,12569,0.0,True
FA-00000105,AC-00002,,FC-00014,,2022-07-29T16:16:01,MINOR,1204,0.0,True
FA-00000106,AC-00002,,FC-00015,,2023-12-20T12:27:20,MINOR,42720,0.0,True
FA-00000107,AC-00002,,FC-00015,,2013-12-05T10:34:49,MINOR,14145,0.0,True
FA-00000108,AC-00002,,FC-00017,,2016-01-12T23:40:56,MAJOR,7684,0.0,True
FA-00000109,AC-00002,,FC-00020,,2021-10-13T15:58:41,MAJOR,2459,0.0,True
FA-00000110,AC-00002,,FC-00022,,2024-06-28T23:46:41,CRITICAL,9831,0.0,True
FA-00000111,AC-00002,,FC-00019,,2020-12-13T15:22:51,CRITICAL,3023,0.0,True
FA-00000112,AC-00002,,FC-00022,,2020-10-21T04:53:44,CRITICAL,44252,0.0,True
FA-00000113,AC-00002,,FC-00020,,2015-02-27T07:50:08,MAJOR,47698,0.0,True
FA-00000114,AC-00002,,FC-00021,,2020-09-04T16:09:26,MAJOR,27753,0.0,True
FA-00000115,AC-00002,,FC-00019,,2012-04-08T17:08:24,CRITICAL,12303,0.0,True
FA-00000116,AC-00002,,FC-00021,,2001-11-28T17:49:26,MAJOR,46866,0.0,True
FA-00000117,AC-00002,,FC-00021,,2020-04-06T15:09:50,MAJOR,41130,0.0,True
FA-00000118,AC-00002,,FC-00019,,2024-09-26T16:56:13,CRITICAL,6195,0.0,True
FA-00000119,AC-00002,,FC-00018,,2022-02-18T09:53:37,CRITICAL,2746,0.0,True
FA-00000120,AC-00002,,FC-00020,,2015-05-06T19:59:09,MAJOR,49145,0.0,True
FA-00000121,AC-00002,,FC-00018,,2020-01-26T02:00:04,CRITICAL,36166,0.0,True
FA-00000122,AC-00002,,FC-00022,,2011-03-11T17:21:56,CRITICAL,47500,0.0,True
FA-00000123,AC-00002,,FC-00022,,2006-08-10T16:40:06,CRITICAL,36520,0.0,True
FA-00000124,AC-00002,,FC-00022,,2005-12-06T08:05:10,CRITICAL,41778,0.0,True
FA-00000125,AC-00002,,FC-00019,,2016-05-02T14:41:29,CRITICAL,35449,0.0,True
FA-00000126,AC-00002,,FC-00018,,2012-06-01T14:33:19,CRITICAL,52372,0.0,True
FA-00000127,AC-00002,,FC-00018,,2008-09-21T23:14:39,CRITICAL,2118,0.0,True
FA-00000128,AC-00002,,FC-00018,,2024-01-22T10:28:20,CRITICAL,5541,0.0,True
FA-00000129,AC-00002,,FC-00018,,2016-12-31T12:44:13,CRITICAL,42199,0.0,True
FA-00000130,AC-00002,,FC-00020,,2009-07-08T23:59:02,MAJOR,626,0.0,True
FA-00000131,AC-00002,,FC-00018,,2023-01-26T15:41:12,CRITICAL,9838,0.0,True
FA-00000132,AC-00002,,FC-00022,,2023-10-13T14:07:40,CRITICAL,7410,0.0,True
FA-00000133,AC-00002,,FC-00019,,2013-07-10T03:18:54,CRITICAL,37715,0.0,True
FA-00000134,AC-00002,,FC-00018,,2015-06-10T05:13:47,CRITICAL,51651,0.0,True
FA-00000135,AC-00002,,FC-00019,,2002-02-19T19:52:53,CRITICAL,125,0.0,True
FA-00000136,AC-00002,,FC-00020,,2026-02-12T04:06:15,MAJOR,31843,0.0,True
FA-00000137,AC-00002,,FC-00005,,2010-07-29T12:35:10,MAJOR,869,0.0,True
FA-00000138,AC-00002,,FC-00004,,2012-06-24T15:42:16,CRITICAL,27879,0.0,True
FA-00000139,AC-00002,,FC-00005,,2004-08-18T23:56:18,MAJOR,36816,0.0,True
FA-00000140,AC-00002,,FC-00005,,2017-07-09T22:35:41,MAJOR,13803,0.0,True
FA-00000141,AC-00002,,FC-00005,,2009-09-16T04:27:55,MAJOR,30504,0.0,True
FA-00000142,AC-00002,,FC-00005,,2005-03-03T20:25:47,MAJOR,11278,0.0,True
FA-00000143,AC-00002,,FC-00005,,2024-04-19T03:06:31,MAJOR,50803,0.0,True
FA-00000144,AC-00002,,FC-00005,,2018-03-11T21:28:16,MAJOR,36168,0.0,True
FA-00000145,AC-00002,,FC-00005,,2021-03-08T20:35:46,MAJOR,1196,0.0,True
FA-00000146,AC-00002,,FC-00004,,2025-08-06T12:01:04,CRITICAL,45252,0.0,True
FA-00000147,AC-00002,,FC-00005,,2023-03-16T20:00:39,MAJOR,49946,0.0,True
FA-00000148,AC-00002,,FC-00004,,2013-03-04T11:01:23,CRITICAL,5191,0.0,True
FA-00000149,AC-00002,,FC-00005,,2005-04-25T23:27:29,MAJOR,12377,0.0,True
FA-00000150,AC-00002,,FC-00004,,2026-05-28T16:03:35,CRITICAL,45088,0.0,True
FA-00000151,AC-00002,,FC-00005,,2024-03-06T00:28:21,MAJOR,32188,0.0,True
FA-00000152,AC-00002,,FC-00004,,2011-12-10T05:40:44,CRITICAL,48912,0.0,True
FA-00000153,AC-00002,,FC-00005,,2015-01-27T20:45:08,MAJOR,52743,0.0,True
FA-00000154,AC-00002,,FC-00004,,2020-04-25T13:14:37,CRITICAL,25753,0.0,True
FA-00000155,AC-00002,,FC-00004,,2011-06-13T10:27:21,CRITICAL,52179,0.0,True
FA-00000156,AC-00002,,FC-00005,,2025-08-23T17:42:13,MAJOR,49789,0.0,True
FA-00000157,AC-00002,,FC-00004,,2023-10-27T01:32:36,CRITICAL,52119,0.0,True
FA-00000158,AC-00002,,FC-00004,,2013-02-18T01:07:55,CRITICAL,9710,0.0,True
FA-00000159,AC-00002,,FC-00004,,2011-05-23T00:39:17,CRITICAL,13970,0.0,True
FA-00000160,AC-00002,,FC-00004,,2007-12-05T18:13:00,CRITICAL,14991,0.0,True
FA-00000161,AC-00002,,FC-00005,,2011-01-09T16:03:04,MAJOR,9691,0.0,True
FA-00000162,AC-00002,,FC-00010,,2021-11-27T04:16:23,MINOR,31906,0.0,True
FA-00000163,AC-00002,,FC-00009,,2012-01-10T02:54:28,MINOR,22267,0.0,True
FA-00000164,AC-00002,,FC-00011,,2020-01-22T10:30:20,MINOR,44433,0.0,True
FA-00000165,AC-00002,,FC-00009,,2017-04-19T17:33:32,MINOR,46619,0.0,True
FA-00000166,AC-00002,,FC-00011,,2006-05-18T22:23:36,MINOR,34490,0.0,True
FA-00000167,AC-00002,,FC-00011,,2009-07-04T19:19:35,MINOR,29728,0.0,True
FA-00000168,AC-00002,,FC-00009,,2014-04-26T14:00:49,MINOR,41681,0.0,True
FA-00000169,AC-00002,,FC-00007,,2018-08-08T09:10:42,MINOR,47684,0.0,True
FA-00000170,AC-00002,,FC-00006,,2021-10-19T21:56:44,MINOR,47900,0.0,True
FA-00000171,AC-00002,,FC-00006,,2025-05-31T21:07:12,MINOR,40411,0.0,True
FA-00000172,AC-00002,,FC-00006,,2015-08-03T08:53:44,MINOR,23791,0.0,True
FA-00000173,AC-00002,,FC-00008,,2023-11-23T03:22:12,MINOR,53194,0.0,True
FA-00000174,AC-00002,,FC-00007,,2019-03-30T12:51:18,MINOR,17282,0.0,True
FA-00000175,AC-00002,,FC-00007,,2018-04-21T14:35:09,MINOR,18553,0.0,True
FA-00000176,AC-00002,,FC-00008,,2025-08-16T11:01:07,MINOR,33302,0.0,True
FA-00000177,AC-00002,,FC-00006,,2017-10-14T21:18:14,MINOR,52237,0.0,True
FA-00000178,AC-00002,,FC-00007,,2005-04-06T13:58:59,MINOR,8203,0.0,True
FA-00000179,AC-00002,,FC-00007,,2016-02-20T06:18:10,MINOR,39038,0.0,True
FA-00000180,AC-00002,,FC-00006,,2016-11-30T15:37:58,MINOR,38919,0.0,True
FA-00000181,AC-00002,,FC-00003,,2022-05-28T07:09:57,MINOR,19996,0.0,True
FA-00000182,AC-00002,,FC-00003,,2003-05-11T06:49:07,MINOR,46009,0.0,True
FA-00000183,AC-00002,,FC-00002,,2022-05-07T20:37:26,MINOR,48453,0.0,True
FA-00000184,AC-00002,,FC-00003,,2010-01-20T16:59:21,MINOR,36483,0.0,True
FA-00000185,AC-00002,,FC-00001,,2009-07-29T09:42:14,MINOR,1871,0.0,True
FA-00000186,AC-00002,,FC-00001,,2004-10-18T01:56:50,MINOR,50754,0.0,True
FA-00000187,AC-00002,,FC-00003,,2006-05-09T07:08:19,MINOR,9114,0.0,True
FA-00000188,AC-00002,,FC-00001,,2008-12-25T16:50:39,MINOR,13804,0.0,True
FA-00000189,AC-00002,,FC-00002,,2002-06-28T00:46:20,MINOR,16339,0.0,True
FA-00000190,AC-00002,,FC-00002,,2024-05-12T12:56:43,MINOR,46876,0.0,True
FA-00000191,AC-00002,,FC-00003,,2004-02-06T22:45:32,MINOR,24540,0.0,True
FA-00000192,AC-00002,,FC-00002,,2014-12-17T05:48:38,MINOR,29009,0.0,True
FA-00000193,AC-00002,,FC-00002,,2007-08-13T19:21:02,MINOR,38961,0.0,True
FA-00000194,AC-00002,,FC-00002,,2018-12-25T07:54:25,MINOR,18212,0.0,True
FA-00000195,AC-00002,,FC-00002,,2010-05-05T06:28:23,MINOR,30941,0.0,True
FA-00000196,AC-00002,,FC-00002,,2003-11-27T19:30:33,MINOR,41068,0.0,True
FA-00000197,AC-00002,,FC-00002,,2025-03-25T00:34:48,MINOR,8204,0.0,True
FA-00000198,AC-00002,,FC-00003,,2007-06-28T19:04:12,MINOR,44495,0.0,True
FA-00000199,AC-00002,,FC-00002,,2021-05-08T07:40:04,MINOR,13776,0.0,True
FA-00000200,AC-00002,,FC-00002,,2025-11-13T18:55:48,MINOR,5811,0.0,True
FA-00000201,AC-00002,,FC-00003,,2020-08-05T19:45:05,MINOR,624,0.0,True
FA-00000202,AC-00002,,FC-00001,,2024-08-31T20:41:32,MINOR,3800,0.0,True
