work_order_id,maintenance_event_id,technician_id,fault_code_id,task_card_ref,description,labor_hours,opened_ts,closed_ts,status
WO-000000021,ME-00000013,TC-000001,,TC-00-006,Tâche de maintenance sans code défaut associé (inspection/investigation générale),19.2,2011-05-31T16:52:47,2011-06-01T12:05:37,CLOSED
WO-000000022,ME-00000013,TC-000005,,TC-00-007,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.2,2011-05-31T17:27:12,2011-06-01T01:36:48,CLOSED
WO-000000023,ME-00000014,TC-000003,FC-00029,TC-71-001,Fuite huile détectée,3.4,2025-04-23T07:58:58,2025-04-23T11:22:45,CLOSED
WO-000000024,ME-00000015,TC-000013,FC-00049,TC-80-001,Fuite huile détectée,0.9,2015-12-14T09:26:31,2015-12-14T10:23:04,CLOSED
WO-000000025,ME-00000016,TC-000008,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),0.9,2012-03-19T19:16:31,2012-03-19T20:12:30,CLOSED
WO-000000026,ME-00000017,TC-000002,FC-00040,TC-77-001,Vibration anormale,0.6,2005-01-09T00:28:32,2005-01-09T01:04:42,CLOSED
WO-000000027,ME-00000018,TC-000001,FC-00039,TC-77-001,Dépassement de température,1.5,2014-12-07T20:51:50,2014-12-07T22:20:07,CLOSED
WO-000000028,ME-00000019,TC-000012,FC-00038,TC-77-001,Perte de poussée signalée,2.9,2018-01-22T06:54:53,2018-01-22T09:46:17,CLOSED
WO-000000029,ME-00000020,TC-000008,FC-00037,TC-73-001,Fuite huile détectée,1.3,2006-02-24T12:49:29,2006-02-24T14:08:12,CLOSED
WO-000000030,ME-00000021,TC-000009,FC-00037,TC-73-001,Fuite huile détectée,1.2,2016-11-26T22:57:09,2016-11-27T00:08:51,CLOSED
WO-000000031,ME-00000022,TC-000009,FC-00048,TC-80-001,Vibration anormale,0.6,2024-06-26T10:35:22,2024-06-26T11:11:48,CLOSED
WO-000000032,ME-00000023,TC-000013,FC-00027,TC-71-001,Dépassement de température,2.5,2017-12-20T06:58:49,2017-12-20T09:31:16,CLOSED
WO-000000033,ME-00000023,TC-000010,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),9.9,2017-12-20T07:24:43,2017-12-20T17:20:56,CLOSED
WO-000000034,ME-00000023,TC-000009,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),,2017-12-20T08:12:09,2017-12-20T12:42:56,CLOSED
WO-000000035,ME-00000024,TC-000006,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.3,2008-05-31T09:29:47,2008-05-31T13:45:47,CLOSED
WO-000000036,ME-00000025,TC-000003,FC-00026,TC-71-001,Perte de poussée signalée,3.7,2011-06-23T07:32:56,2011-06-23T11:17:09,CLOSED
WO-000000037,ME-00000025,TC-000003,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.7,2011-06-23T07:11:28,2011-06-23T14:55:33,CLOSED
WO-000000038,ME-00000026,TC-000015,FC-00040,TC-77-001,Vibration anormale,3.1,2012-12-02T04:02:34,2012-12-02T07:11:25,CLOSED
WO-000000039,ME-00000026,TC-000015,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.0,2012-12-02T04:04:37,2012-12-02T12:06:46,CLOSED
WO-000000040,ME-00000026,TC-000015,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),,2012-12-02T04:43:42,2012-12-02T09:59:43,CLOSED
WO-000000041,ME-00000027,TC-000011,FC-00046,TC-80-001,Perte de poussée signalée,2.3,2004-08-21T11:59:11,2004-08-21T14:17:03,CLOSED
WO-000000042,ME-00000028,TC-000013,FC-00045,TC-79-001,Fuite huile détectée,0.5,2013-10-15T02:05:19,2013-10-15T02:36:12,CLOSED
WO-000000043,ME-00000029,TC-000003,FC-00049,TC-80-001,Fuite huile détectée,8.1,2002-09-02T18:12:17,2002-09-03T02:17:52,CLOSED
WO-000000044,ME-00000029,TC-000013,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),0.33,2002-09-02T18:31:35,2002-09-02T21:48:54,CLOSED
WO-000000045,ME-00000029,TC-000013,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.4,2002-09-02T19:08:29,2002-09-02T23:34:32,CLOSED
WO-000000046,ME-00000030,TC-000003,FC-00031,TC-72-001,Dépassement de température,3.4,2002-04-05T01:30:22,2002-04-05T04:51:27,CLOSED
WO-000000047,ME-00000031,TC-000005,FC-00046,TC-80-001,Perte de poussée signalée,2.6,2008-03-21T23:30:58,2008-03-22T02:04:21,CLOSED
WO-000000048,ME-00000032,TC-000015,FC-00047,TC-80-001,Dépassement de température,0.9,2014-01-19T02:11:46,2014-01-19T03:03:14,CLOSED
WO-000000049,ME-00000033,TC-000011,FC-00042,TC-79-001,Perte de poussée signalée,1.8,2020-08-30T14:16:27,2020-08-30T15:15:00,CLOSED
WO-000000050,ME-00000034,TC-000013,FC-00042,TC-79-001,Perte de poussée signalée,3.7,2024-04-29T03:26:50,2024-04-29T06:08:57,CLOSED
WO-000000051,ME-00000035,TC-000009,FC-00035,TC-73-001,Dépassement de température,1.7,2016-12-15T22:27:39,2016-12-16T00:08:30,CLOSED
WO-000000052,ME-00000036,TC-000013,FC-00037,TC-73-001,Fuite huile détectée,2.2,2009-09-27T12:17:19,2009-09-27T14:27:31,CLOSED
WO-000000053,ME-00000037,TC-000002,FC-00044,TC-79-001,Vibration anormale,1.5,2009-06-06T06:49:46,2009-06-06T08:20:33,CLOSED
WO-000000054,ME-00000037,TC-000006,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.6,2009-06-06T07:50:56,2009-06-06T11:29:56,CLOSED
WO-000000055,ME-00000038,TC-000004,FC-00026,TC-71-001,Perte de poussée signalée,1.4,2007-02-03T06:32:18,2007-02-03T07:59:06,CLOSED
WO-000000056,ME-00000039,TC-000001,FC-00047,TC-80-001,,0.5,2006-03-20T00:25:01,2006-03-20T00:23:53,CLOSED
WO-000000057,ME-00000040,TC-000011,FC-00045,TC-79-001,Fuite huile détectée,3.2,2003-10-19T21:18:58,2003-10-20T00:28:35,CLOSED
WO-000000058,ME-00000041,TC-000011,FC-00026,TC-71-001,Perte de poussée signalée,2.6,2009-06-17T15:43:18,2009-06-17T18:16:58,CLOSED
WO-000000059,ME-00000041,TC-000011,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),5.4,2009-06-17T16:06:39,2009-06-17T21:27:39,CLOSED
WO-000000060,ME-00000041,TC-000011,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.8,2009-06-17T16:09:14,2009-06-17T19:57:56,CLOSED
WO-000000061,ME-00000042,TC-000011,FC-00031,TC-72-001,Dépassement de température,3.6,2018-08-31T15:43:50,2018-08-31T19:21:14,CLOSED
WO-000000062,ME-00000042,TC-000011,,TC-00-002,,6.7,2018-08-31T16:28:22,2018-08-31T23:12:14,CLOSED
WO-000000063,ME-00000043,TC-000015,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.6,2012-11-08T06:26:24,2012-11-08T08:29:28,CLOSED
WO-000000064,ME-00000044,TC-000012,FC-00040,TC-77-001,Vibration anormale,0.9,2003-11-25T09:20:02,2003-11-25T10:14:13,CLOSED
WO-000000065,ME-00000045,TC-000015,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.6,2022-11-30T01:40:14,2022-11-30T04:37:14,CLOSED
WO-000000066,ME-00000046,TC-000004,FC-00026,TC-71-001,Perte de poussée signalée,0.8,2013-12-13T04:00:38,2013-12-13T04:48:26,CLOSED
WO-000000067,ME-00000047,TC-000008,FC-00040,TC-77-001,Vibration anormale,1.4,2014-02-15T21:05:48,2014-02-15T22:03:12,CLOSED
WO-000000068,ME-00000048,TC-000003,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.4,2009-03-16T16:17:57,2009-03-16T19:40:42,CLOSED
WO-000000069,ME-00000049,TC-000006,FC-00037,TC-73-001,Fuite huile détectée,4.2,2021-04-17T04:49:01,2021-04-17T08:59:05,CLOSED
WO-000000070,ME-00000050,TC-000003,FC-00043,TC-79-001,Dépassement de température,4.2,2006-09-13T15:42:48,2006-09-13T19:53:01,CLOSED
WO-000000071,ME-00000050,TC-000003,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.4,2006-09-13T15:38:10,2006-09-13T19:04:06,CLOSED
WO-000000072,ME-00000050,TC-000003,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),5.9,2006-09-13T16:23:57,2006-09-13T22:17:11,CLOSED
WO-000000073,ME-00000051,TC-000009,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.5,2009-03-02T21:23:27,2009-03-02T23:54:34,CLOSED
WO-000000074,ME-00000052,TC-000009,FC-00023,TC-49-001,Anomalie structurelle mineure,2.3,2021-11-10T10:07:06,2021-11-10T12:28:04,CLOSED
WO-000000075,ME-00000053,TC-000006,FC-00024,TC-49-001,Corrosion détectée,1.4,2018-08-29T23:47:23,2018-08-30T01:09:11,CLOSED
WO-000000076,ME-00000053,TC-000006,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),6.7,2018-08-29T23:42:13,2018-08-30T06:26:31,CLOSED
WO-000000077,ME-00000054,TC-000011,FC-00024,TC-49-001,Corrosion détectée,1.5,2023-05-13T02:04:14,2023-05-13T03:11:39,CLOSED
WO-000000078,ME-00000055,TC-000007,FC-00023,TC-49-001,Anomalie structurelle mineure,5.4,2019-10-13T05:12:18,2019-10-13T10:37:16,CLOSED
WO-000000079,ME-00000055,TC-000002,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.5,2019-10-13T05:15:00,2019-10-13T07:47:36,CLOSED
WO-000000080,ME-00000055,TC-000010,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.3,2019-10-13T06:11:24,2019-10-13T10:29:57,CLOSED
WO-000000081,ME-00000056,TC-000012,FC-00024,TC-49-001,Corrosion détectée,3.7,2003-07-28T10:42:46,2003-07-28T14:23:10,CLOSED
WO-000000082,ME-00000056,TC-000012,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.7,2003-07-28T11:23:36,2003-07-28T20:07:44,CLOSED
WO-000000083,ME-00000057,TC-000014,FC-00025,TC-49-001,Jeu excessif constaté,1.2,2002-03-11T15:58:45,2002-03-11T17:09:45,CLOSED
WO-000000084,ME-00000057,TC-000007,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.2,2002-03-11T16:15:05,2002-03-11T23:24:24,CLOSED
WO-000000085,ME-00000058,TC-000015,FC-00025,TC-49-001,Jeu excessif constaté,3.5,2006-11-25T19:35:09,2006-11-25T23:03:49,CLOSED
WO-000000086,ME-00000058,TC-000015,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.0,2006-11-25T19:31:54,2006-11-26T03:29:04,CLOSED
WO-000000087,ME-00000059,TC-000002,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.2,2014-12-14T13:46:54,2014-12-14T16:59:41,CLOSED
WO-000000088,ME-00000060,TC-000013,FC-00023,TC-49-001,Anomalie structurelle mineure,1.1,2002-04-08T18:53:16,2002-04-08T20:01:58,CLOSED
WO-000000089,ME-00000061,TC-000006,FC-00023,TC-49-001,Anomalie structurelle mineure,1.2,2023-01-16T12:55:10,2023-01-16T14:08:09,CLOSED
WO-000000090,ME-00000062,TC-000004,FC-00025,TC-49-001,Jeu excessif constaté,2.6,2016-03-29T06:24:36,2016-03-29T09:02:08,CLOSED
WO-000000091,ME-00000062,TC-000002,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),5.9,2016-03-29T06:37:02,2016-03-29T12:31:13,CLOSED
WO-000000092,ME-00000062,TC-000001,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.2,2016-03-29T07:45:40,2016-03-29T15:56:04,CLOSED
WO-000000093,ME-00000063,TC-000005,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.0,2007-02-28T14:14:28,2007-02-28T21:13:13,CLOSED
WO-000000094,ME-00000064,TC-000013,FC-00024,TC-49-001,Corrosion détectée,0.7,2008-06-22T08:03:30,2008-06-22T08:40:56,CLOSED
WO-000000095,ME-00000065,TC-000010,FC-00025,TC-49-001,Jeu excessif constaté,1.7,2022-07-02T06:23:48,2022-07-02T08:02:59,CLOSED
WO-000000096,ME-00000065,TC-000011,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),5.9,2022-07-02T06:51:16,2022-07-02T12:47:58,CLOSED
WO-000000097,ME-00000065,TC-000013,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.4,2022-07-02T06:20:47,2022-07-02T10:43:15,CLOSED
WO-000000098,ME-00000066,TC-000010,FC-00025,TC-49-001,Jeu excessif constaté,1.9,2021-04-24T13:14:56,2021-04-24T15:09:33,CLOSED
WO-000000099,ME-00000067,TC-000001,FC-00025,TC-49-001,Jeu excessif constaté,0.9,2004-04-06T02:46:33,2004-04-06T03:40:40,CLOSED
WO-000000100,ME-00000068,TC-000015,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),11.2,2009-02-16T20:38:39,2009-02-17T07:49:24,CLOSED
WO-000000101,ME-00000069,TC-000004,FC-00012,TC-29-001,Chute de pression hydraulique,2.3,2008-01-19T18:40:19,2008-01-19T20:58:04,CLOSED
WO-000000102,ME-00000070,TC-000009,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.6,2026-03-18T03:38:16,2026-03-18T04:41:17,CLOSED
WO-000000103,ME-00000071,TC-000007,FC-00012,TC-29-001,Chute de pression hydraulique,2.1,2023-11-22T03:26:32,2023-11-22T05:34:24,CLOSED
WO-000000104,ME-00000072,TC-000003,FC-00012,TC-29-001,Chute de pression hydraulique,1.6,2016-09-11T00:27:19,2016-09-11T02:03:10,CLOSED
WO-000000105,ME-00000073,TC-000005,FC-00013,TC-29-001,Fuite de fluide détectée,2.7,2002-05-21T11:50:22,2002-05-21T14:33:51,CLOSED
WO-000000106,ME-00000073,TC-000007,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),8.2,2002-05-21T12:31:01,2002-05-21T20:41:29,CLOSED
WO-000000107,ME-00000073,TC-000008,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),5.4,2002-05-21T12:37:07,2002-05-21T18:01:34,CLOSED
WO-000000108,ME-00000074,TC-000007,FC-00012,TC-29-001,Chute de pression hydraulique,3.8,2024-04-08T20:39:46,2024-04-09T00:25:06,CLOSED
WO-000000109,ME-00000074,TC-000010,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),58.0,2024-04-08T21:53:32,2024-04-09T03:40:59,CLOSED
WO-000000110,ME-00000075,TC-000013,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),1.4,2011-10-30T00:54:05,2011-10-30T02:15:58,CLOSED
WO-000000111,ME-00000076,TC-000014,FC-00012,TC-29-001,Chute de pression hydraulique,1.3,2003-04-21T17:37:49,2003-04-21T18:54:20,CLOSED
WO-000000112,ME-00000077,TC-000004,FC-00013,TC-29-001,Fuite de fluide détectée,3.3,2022-05-09T04:39:21,2022-05-09T07:22:43,CLOSED
WO-000000113,ME-00000077,TC-000009,,TC-00-002,Tâc,4.1,2022-05-09T04:21:13,2022-05-09T07:22:43,CLOSED
WO-000000114,ME-00000078,TC-000007,FC-00012,TC-29-001,Chute de pression hydraulique,10.5,2010-11-28T15:18:24,2010-11-29T01:47:33,CLOSED
WO-000000115,ME-00000078,TC-000006,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),11.0,2010-11-28T15:39:38,2010-11-29T02:39:57,CLOSED
WO-000000116,ME-00000078,TC-000002,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),27.4,2010-11-28T15:42:43,2010-11-29T19:06:54,CLOSED
WO-000000117,ME-00000078,TC-000015,,TC-00-004,Tâche de maintenance sans code défaut associé (inspection/investigation générale),18.3,2010-11-28T16:26:48,2010-11-29T10:42:51,CLOSED
WO-000000118,ME-00000079,TC-000013,FC-00012,TC-29-001,Chute de pression hydraulique,6.0,2012-05-15T21:49:26,2012-05-16T03:50:43,CLOSED
WO-000000119,ME-00000079,TC-000013,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.0,2012-05-15T22:08:38,2012-05-16T02:11:31,CLOSED
WO-000000120,ME-00000080,TC-000006,FC-00012,TC-29-001,Chute de pression hydraulique,0.9,2015-01-24T04:45:00,2015-01-24T05:38:28,CLOSED
WO-000000121,ME-00000081,TC-000005,FC-00012,TC-29-001,Chu,3.0,2020-04-26T08:35:49,2020-04-26T11:37:09,CLOSED
WO-000000122,ME-00000082,TC-000009,FC-00013,TC-29-001,Fuite de fluide détectée,10.5,2006-08-04T17:08:54,2006-08-05T03:40:12,CLOSED
WO-000000123,ME-00000082,TC-000009,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),36.7,2006-08-04T17:21:26,2006-08-06T06:00:40,CLOSED
WO-000000124,ME-00000082,TC-000009,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),9.2,2006-08-04T17:30:51,2006-08-05T02:42:09,CLOSED
WO-000000125,ME-00000082,TC-000009,,TC-00-004,Tâche de maintenance sans code défaut associé (inspection/investigation générale),13.9,2006-08-04T17:37:23,2006-08-05T07:28:27,CLOSED
WO-000000126,ME-00000082,TC-000009,,TC-00-005,Tâche de maintenance sans code défaut associé (inspection/investigation générale),12.8,2006-08-04T17:22:15,2006-08-05T06:09:01,CLOSED
WO-000000127,ME-00000082,TC-000009,,TC-00-006,Tâche de maintenance sans code défaut associé (inspection/investigation générale),27.0,2006-08-04T17:51:28,2006-08-05T20:49:43,CLOSED
WO-000000128,ME-00000082,TC-000009,,TC-00-007,Tâche de maintenance sans code défaut associé (inspection/investigation générale),10.9,2006-08-04T17:28:49,2006-08-05T04:24:00,CLOSED
WO-000000129,ME-00000082,TC-000009,,TC-00-008,Tâche de maintenance sans code défaut associé (inspection/investigation générale),23.8,2006-08-04T17:57:49,2006-08-05T17:46:26,CLOSED
WO-000000130,ME-00000082,TC-000009,,TC-00-009,Tâche de maintenance sans code défaut associé (inspection/investigation générale),16.4,2006-08-04T17:13:12,2006-08-05T09:39:13,CLOSED
WO-000000131,ME-00000083,TC-000012,FC-00012,TC-29-001,Chute de pression hydraulique,1.3,2025-12-07T05:24:23,2025-12-07T06:44:49,CLOSED
WO-000000132,ME-00000084,TC-000014,FC-00013,TC-29-001,Fuite de fluide détectée,1.8,2008-06-03T11:54:53,2008-06-03T11:44:14,CLOSED
WO-000000133,ME-00000085,TC-000009,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.8,2025-01-27T10:19:52,2025-01-27T11:38:23,CLOSED
WO-000000134,ME-00000086,TC-000008,FC-00013,TC-29-001,Fuite de fluide détectée,4.9,2019-09-30T06:55:17,2019-09-30T11:47:45,CLOSED
WO-000000135,ME-00000087,TC-000009,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.1,2004-11-06T03:03:46,2004-11-06T05:07:42,CLOSED
WO-000000136,ME-00000088,TC-000013,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.5,2013-11-25T06:02:09,2013-11-25T09:33:18,CLOSED
WO-000000137,ME-00000088,TC-000013,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.2,2013-11-25T06:29:20,2013-11-25T08:42:28,CLOSED
WO-000000138,ME-00000088,TC-000013,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.6,2013-11-25T06:07:56,2013-11-25T10:41:56,CLOSED
WO-000000139,ME-00000089,TC-000008,FC-00012,TC-29-001,Chute de pression hydraulique,10.4,2015-08-19T04:45:34,2015-08-19T15:08:26,CLOSED
WO-000000140,ME-00000089,TC-000008,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),6.7,2015-08-19T04:47:54,2015-08-19T11:29:33,CLOSED
WO-000000141,ME-00000089,TC-000008,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),36.3,2015-08-19T05:08:40,2015-08-20T17:25:52,CLOSED
WO-000000142,ME-00000089,TC-000008,,TC-00-004,Tâche de maintenance sans code défaut associé (inspection/investigation générale),52.2,2015-08-19T05:07:14,2015-08-21T09:17:12,CLOSED
WO-000000143,ME-00000089,TC-000005,,TC-00-005,Tâche de maintenance sans code défaut associé (inspection/investigation générale),49.7,2015-08-19T05:10:46,2015-08-21T06:50:52,CLOSED
WO-000000144,ME-00000089,TC-000008,,TC-00-006,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.15,2015-08-19T04:49:25,2015-08-20T02:18:54,CLOSED
WO-000000145,ME-00000089,TC-000005,,TC-00-007,Tâche de maintenance sans code défaut associé (inspection/investigation générale),12.1,2015-08-19T04:49:01,2015-08-19T16:55:47,CLOSED
WO-000000146,ME-00000089,TC-000005,,TC-00-008,Tâche de maintenance sans code défaut associé (inspection/investigation générale),15.3,2015-08-19T05:02:07,2015-08-19T20:22:18,CLOSED
WO-000000147,ME-00000090,TC-000015,FC-00012,TC-29-001,Chute de pression hydraulique,5.6,2014-12-07T22:50:05,2014-12-08T00:51:18,CLOSED
WO-000000148,ME-00000091,TC-000015,FC-00013,TC-29-001,Fuite de fluide détectée,3.9,2012-11-30T12:06:02,2012-11-30T16:01:29,CLOSED
WO-000000149,ME-00000091,TC-000010,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.4,2012-11-30T12:10:44,2012-11-30T19:35:22,CLOSED
WO-000000150,ME-00000092,TC-000010,FC-00012,TC-29-001,Chute de pression hydraulique,3.5,2010-03-08T21:39:58,2010-03-09T01:10:18,CLOSED
WO-000000151,ME-00000092,TC-000007,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.9,2010-03-08T21:31:42,2010-03-09T00:24:58,CLOSED
WO-000000152,ME-00000092,TC-000015,,TC-00-003,Tâc,4.2,2010-03-08T22:14:39,2010-03-09T02:29:32,CLOSED
WO-000000153,ME-00000093,TC-000003,FC-00012,TC-29-001,Chute de pression hydraulique,2.6,2019-11-20T21:50:26,2019-11-21T00:28:01,CLOSED
WO-000000154,ME-00000094,TC-000007,FC-00012,TC-29-001,Chute de pression hydraulique,1.7,2026-06-02T08:59:19,2026-06-02T10:39:45,CLOSED
WO-000000155,ME-00000095,TC-000013,FC-00012,TC-29-001,Chute de pression hydraulique,3.3,2018-09-23T02:38:39,2018-09-23T05:26:54,CLOSED
WO-000000156,ME-00000096,TC-000005,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),4.7,2021-08-30T11:46:20,2021-08-30T16:26:06,CLOSED
WO-000000157,ME-00000096,TC-000005,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),11.5,2021-08-30T11:47:06,2021-08-30T23:18:59,CLOSED
WO-000000158,ME-00000096,TC-000008,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),14.7,2021-08-30T11:43:09,2021-08-31T02:23:02,CLOSED
WO-000000159,ME-00000096,TC-000005,,TC-00-004,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.8,2021-08-30T12:11:09,2021-08-30T19:59:06,CLOSED
WO-000000160,ME-00000096,TC-000008,,TC-00-005,Tâche de maintenance sans code défaut associé (inspection/investigation générale),6.9,2021-08-30T12:09:38,2021-08-30T19:02:52,CLOSED
WO-000000161,ME-00000096,TC-000008,,TC-00-006,Tâche de maintenance sans code défaut associé (inspection/investigation générale),20.0,2021-08-30T11:55:06,2021-08-31T07:57:10,CLOSED
WO-000000162,ME-00000096,TC-000005,,TC-00-007,Tâche de maintenance sans code défaut associé (inspection/investigation générale),17.8,2021-08-30T12:04:33,2021-08-31T05:49:46,CLOSED
